CommodityGroup,Commodity
Energy Emissions,COMCO2
Energy Emissions,ELCCO2
Energy Emissions,GASCO2
Energy Emissions,INDCO2
Energy Emissions,RESCO2
Energy Emissions,TOTCO2
Energy Emissions,TRACO2
