CommName,AGRCOA,AGRDSL,AGRPET,AGRFOL,AGRLPG,AGRNGA,AGRGEO,AGRWOD,AGRPLT
*Units,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ
AGRCO2,92,69.69,66.58,72.91,60.43,53.96,,,
