CommName,COMCOA,COMNGA,COMLPG,COMDSL,COMBIG,COMGEO,COMFOL,COMPET,COMWOD,COMPLT
*Units,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ
COMCO2,92,53.96,60.43,69.69,,,72.91,66.58,,
