Year,TimeSlice,LoadCurve,Technology
2023,WIN-WK-D,0.0357167,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,WIN-WK-N,0.035455,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,WIN-WK-P,0,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,WIN-WE-D,0.01412,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,WIN-WE-N,0.01412,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,WIN-WE-P,0,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,SPR-WK-D,0.10722,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,SPR-WK-N,0.10722,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,SPR-WK-P,0,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,SPR-WE-D,0.042765,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,SPR-WE-N,0.042765,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,SPR-WE-P,0,"ALIVE-MoTP-Mob-Trac*,AHORT-MoTP-Mob-Trac*"
2023,SUM-WK-D,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SUM-WK-N,0.2135,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SUM-WK-P,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SUM-WE-D,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SUM-WE-N,0.08472,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,SUM-WE-P,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,FAL-WK-D,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,FAL-WK-N,0.21624,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,FAL-WK-P,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,FAL-WE-D,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,FAL-WE-N,0.08616,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
2023,FAL-WE-P,0,"A*-MoTP-Mob*,-ADCF-MoTP-Mob*,-ALIVE-MoTP-Mob-Trac*,-AHORT-MoTP-Mob-Trac*,-A*-MoTP-Mob-CY*,-A*-MoTP-Mob-GB*"
