SectorGroup,Sector,Year,Traditional,Transformation,Method,Note
Commercial,Data Centers,2023,238,238,Forecasting,"Based on NZTech projections, assumed the demand growth after 2035 is flat (Values is in GWh)"
Commercial,Data Centers,2030,913,1207,Forecasting,"Based on NZTech projections, assumed the demand growth after 2035 is flat (Values is in GWh)"
Commercial,Data Centers,2035,2120,2886,Forecasting,"Based on NZTech projections, assumed the demand growth after 2035 is flat (Values is in GWh)"
