TimeSlice,LimType,Attribute,Pset_PN,Pset_CI,Cset_CN,Pset_set,Year,NI,SI
,,ACT_CUM,CCS_Store1,,,,,,0
,,ACT_CUM,CCS_Store2,,,,,0,
