TechName,Description
JD-WH_LOW-FLEX,Ripple control
DD-WH_LOW-FLEX,Ripple control
JD-WH_LOW-SMART,Hot water controller
DD-WH_LOW-SMART,Hot water controller
JD-S_HEAT-FLEX,Heatpump controller
DD-S_HEAT-FLEX,Heatpump controller
