ProcessGroup,Process,PlantName,TechnologyGroup,Technology,SectorGroup,Sector,EnduseGroup,EndUse
Electricity generation,ELC_Geo_Rotokawa,Rotokawa,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Roxburgh,Roxburgh,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_GasPkr_StratfordPeaker,Stratford Peaker,Thermal,Natural gas peaker,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_TakapoA,Takapō A,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_TakapoB,Takapō B,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_CCGT_TCC,Taranaki Combined Cycle,Thermal,CCGT,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TararuaStage12,Tararua Stage 1 & 2,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TararuaStage3,Tararua Stage 3,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TeApiti,Te Āpiti,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TeHukaBinary,Te Huka Binary,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_Geo_TeMihi,Te Mihi,Geothermal,Geothermal,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TeRereHau,Te Rere Hau,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TeUku,Te Uku,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Teviot,Teviot,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_HydSC_Tuai,Tuai,Hydro,Hydro (Schedulable),Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TuriteaNorth,Turitea North,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
Electricity generation,ELC_WindOn_TuriteaSouth,Turitea South,Wind,Onshore wind,Electricity generation,Electricity generation,Electricity generation,Electricity generation
