TechName,Comm-OUT,CUM,INVCOST,VAROM,ACTBND~UP~2030,ACTBND~UP~2060,ACTBND~UP~0,LIFE
CCS_Store1,COseq,39000,0.401930769230769,0.0154076923076923,1300,1300,3,30
CCS_Store2,COseq,120000,0.2020525,0.0072425,4000,4000,3,30
