CommName,ELCCOA,ELCCOL,ELCOIL,ELCNGA,ELCBIL,ELCBIG,ELCWOD
*Units,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ
ELCCO2,89.1,93.1,69.69,53.96,,,
