commname,csets,unit
OTHR-BOILR-PH_INT,DEM,PJ
OTHR-BOILR-PH_LOW,DEM,PJ
OTHR-ICENG-MTV_MOB,DEM,PJ
OTHR-EFURNC-PH_HIGH,DEM,PJ
OTHR-ELCTR-ELCTR,DEM,PJ
OTHR-FURNC-PH_HIGH,DEM,PJ
OTHR-HEATR-PH_INT,DEM,PJ
OTHR-HEATR-PH_LOW,DEM,PJ
OTHR-LIGHT-LIGHT,DEM,PJ
OTHR-MOTOR-MTV_STA,DEM,PJ
OTHR-PUMP-PUMP,DEM,PJ
OTHR-UNALC-UNALC,DEM,PJ
OTHR-SH_LOW,DEM,PJ
PULP-BOILR-PH_INT,DEM,PJ
PULP-ACOMP-COMP_AIR,DEM,PJ
PULP-ELCTR-ELCTR,DEM,PJ
PULP-FAN-FAN,DEM,PJ
PULP-LIGHT-LIGHT,DEM,PJ
PULP-MOTOR-MTV_STA,DEM,PJ
PULP-PUMP-PUMP,DEM,PJ
PULP-REFIN-REFIN,DEM,PJ
PULP-HEATX-PH_INT,DEM,PJ
PULP-BURNR-PH_LOW,DEM,PJ
PULP-SH_LOW,DEM,PJ
PULP-FURNC-PH_HIGH,DEM,PJ
STEEL-FDSTK-FDSTK,DEM,PJ
STEEL-EFURNC-ISTEEL,DEM,PJ
STEEL-ELCTR-ELCTR,DEM,PJ
STEEL-FRIDG-FRIDG,DEM,PJ
STEEL-HEATR-PH_LOW,DEM,PJ
STEEL-LIGHT-LIGHT,DEM,PJ
STEEL-MOTOR-ISTEEL,DEM,PJ
STEEL-MOTOR-MTV_STA,DEM,PJ
STEEL-BOILR-WH_LOW,DEM,PJ
STEEL-BURNR-PH_INT,DEM,PJ
STEEL-FURNC-ISTEEL,DEM,PJ
STEEL-FURNC-PH_HIGH,DEM,PJ
STEEL-IOVEN-PH_HIGH,DEM,PJ
UREA-COMPR-MTV_STA,DEM,PJ
UREA-FDSTK-FDSTK,DEM,PJ
UREA-REFRM-PH_HIGH,DEM,PJ
WOOD-BOILR-PH_INT,DEM,PJ
WOOD-ACOMP-COMP_AIR,DEM,PJ
WOOD-ELCTR-ELCTR,DEM,PJ
WOOD-FAN-FAN,DEM,PJ
WOOD-HPPH-PH_LOW,DEM,PJ
WOOD-LIGHT-LIGHT,DEM,PJ
WOOD-MOTOR-MTV_STA,DEM,PJ
WOOD-PUMP-PUMP,DEM,PJ
WOOD-REFIN-REFIN,DEM,PJ
WOOD-HEATX-PH_INT,DEM,PJ
WOOD-BURNR-PH_INT,DEM,PJ
WOOD-BOILR-PH_LOW,DEM,PJ
WOOD-FURNC-PH_LOW,DEM,PJ
INDELC,NRG,PJ
INDFOL,NRG,PJ
INDBIG,NRG,PJ
INDNGA,NRG,PJ
INDDSL,NRG,PJ
INDPET,NRG,PJ
INDCOA,NRG,PJ
INDGEO,NRG,PJ
INDLPG,NRG,PJ
INDWOD,NRG,PJ
FSTKNGA,NRG,PJ
INDOSWOD,NRG,PJ
FSTKCOA,NRG,PJ
INDCO2,ENV,kt
TRANGA,NRG,PJ
TRABIL,NRG,PJ
TRALPG,NRG,PJ
TRAPET,NRG,PJ
TRADSL,NRG,PJ
TRAJET,NRG,PJ
TRAH2R,NRG,PJ
TRAELC,NRG,PJ
TRAFOL,NRG,PJ
TRACO2,ENV,Kt
T_P_Car,DEM,BVkm
T_C_Car,DEM,BVkm
T_P_Mcy,DEM,BVkm
T_P_Bus,DEM,BVkm
T_F_LTrk,DEM,BVkm
T_F_MTrk,DEM,BVkm
T_F_HTrk,DEM,BVkm
T_F_Rail,DEM,PJ
T_P_Rail,DEM,PJ
T_F_DSHIP,DEM,PJ
T_F_ISHIP,DEM,PJ
T_O_JET,DEM,PJ
T_O_JET_Int,DEM,PJ
