Connection point,Industrial,Commercial,Residential,Note
HEP0331UNETGN,0.019116837,0.079198326,0.901684836,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HEP0331VECTGN,0.06495098,0.110906863,0.824142157,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HIN0331POCOGN,0.169033842,0.081360687,0.749605471,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HKK0661WPOWGN,0.101814962,0.150287738,0.7478973,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HLY0331WAIKGN,0.187857457,0.080730312,0.731412231,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HOB1101VECTGN,0.034719644,0.214073524,0.751206833,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HOR0331ORONGN,0.248687056,0.069508804,0.68180414,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HOR0661ORONGN,0.535392535,0.021879022,0.442728443,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HTI0331LINEGN,0.212385521,0.083122547,0.704491932,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HUI0331POCOGN,0.116315998,0.067884081,0.815799921,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HWA0331POCOGN,0.143581993,0.08571737,0.770700637,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HWB0331DUNEGN,0.029435368,0.077328747,0.893235884,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HWB0331OTPOGN,0.071323745,0.071617259,0.857058996,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
HWB0332DUNEGN,0.052631579,0.947368421,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
INV0331ELINGN,0.02518646,0.098106713,0.876706827,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
INV0331TPCOGN,0.113648051,0.055332716,0.831019233,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ISL0331ORONGN,0.063829787,0.10091376,0.835256453,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ISL0661ORONGN,0.05306826,0.087581399,0.859350341,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KAI0111MPOWGN,0.059270235,0.055565846,0.885163919,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KAW0111HEDLGN,0.031662269,0.070580475,0.897757256,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KAW0112SKOGGD,1,0,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KBY0661ORONGN,0.212418301,0.037037037,0.750544662,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KIK0111TASMGN,0.1890681,0.102150538,0.708781362,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KIN0112POCOGN,1,0,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KIN0331POCOGN,0.068888225,0.0720263,0.859085475,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KMO0331POCOGN,0.018925313,0.023206038,0.957868649,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KOE1101TOPEGN,0.072473931,0.089212757,0.838313312,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KPU0661POCOGN,0.062185805,0.075960891,0.861853303,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KUM0661WPOWGN,0.097087379,0.07605178,0.826860841,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
KWA0111CKHKGN,0.025450339,0.185919683,0.788629979,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
LTN0331POCOGN,0.047766304,0.077199183,0.875034513,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MCH0111TASMGN,0.241339492,0.184757506,0.573903002,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MGM0331POCOGN,0.219861432,0.094688222,0.685450346,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MHO0331ELECGN,0.063170647,0.063401408,0.873427945,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MLG0111CKHKGN,0.024730103,0.146372081,0.828897816,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MLG0331CKHKGN,0.013143843,0.070237411,0.916618746,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MNG0331VECTGN,0.02380675,0.12012117,0.85607208,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MNG1101VECTGD,1,0,0,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MPE1101NPOWGN,0.083930073,0.090568097,0.82550183,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MST0331POCOGN,0.079067245,0.082158351,0.838774403,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MTM0331POCOGN,0.033652143,0.111347267,0.85500059,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MTN0331POCOGN,0.13137981,0.098212848,0.770407342,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MTO0331NPOWGN,0.150912584,0.07079731,0.778290106,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
MTR0331POCOGN,0.161383285,0.192002882,0.646613833,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
NMA0331TPCOGN,0.255033557,0.082924626,0.662041817,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
NPK0331LINEGN,0.080487805,0.290243902,0.629268293,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
NSY0331OTPOGN,0.28356998,0.102636917,0.613793103,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
OAM0331WATAGN,0.131091663,0.090004606,0.778903731,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
OKN0111LINEGN,0.057522124,0.107177974,0.835299902,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
OKN0111POCOGN,0.16360601,0.124373957,0.712020033,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ONG0331LINEGN,0.123487225,0.102868669,0.773644106,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
OPK0331POCOGN,0.361842105,0.067763158,0.570394737,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ORO1101BUELGN,0.034690102,0.092969473,0.872340426,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
ORO1102BUELGN,0.051717331,0.109356494,0.838926174,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
OTA0221VECTGN,0.029182058,0.1023219,0.868496042,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
OTI0111WPOWGN,0.024390244,0.195121951,0.780487805,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
OWH0111HAWKGN,0.029562754,0.059125509,0.911311737,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
PAK0331VECTGN,0.024229222,0.076021962,0.899748816,Calculations from EMI Electricity snapshots. Date 30-June 2020. Could be recreated in repo
