CommName,INDCOA,INDPET,INDDSL,INDLPG,INDFOL,INDNGA,INDBIG,INDWOD
*Units,kt/PJ,kt/PJ,kt/PJ,,,,,
INDCO2,92,66.58,69.69,60.43,72.91,53.96,,
