~COMEMI,,,,,,,,,
CommName,COMCOA,COMNGA,COMLPG,COMDSL,COMBIG,COMGEO,COMPET,COMWOD,COMPLT
COMCO2,82.37,54.1,59.32,69.63,,,68.79,,
