Sector,EndUse,Technology,AFA,Notes
Office Blocks,Refrigeration,Refrigeration Systems,0.45,TIMES-NZ 2.0
Office Blocks,"Motive Power, Mobile",Internal Combustion Engine (Land Transport),0.1,TIMES-NZ 2.0
Office Blocks,"Motive Power, Stationary",Electric Motor,0.45,TIMES-NZ 2.0
Office Blocks,"Motive Power, Stationary",Stationary Engine,0.45,TIMES-NZ 2.0
WSR,Electronics and Other Electrical Uses,Electronics,0.48,TIMES-NZ 2.0
WSR,Lighting,Lights (Fluorescent),0.48,TIMES-NZ 2.0
WSR,Lighting,Lights (Incandescent),0.48,TIMES-NZ 2.0
WSR,Lighting,Lights (LED),0.48,TIMES-NZ 2.0
WSR,"Intermediate Heat (100-300 C), Process Requirements",Boiler Systems,0.48,TIMES-NZ 2.0
WSR,"Intermediate Heat (100-300 C), Process Requirements",Resistance Heater,0.48,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Space Heating",Boiler Systems,0.1,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Space Heating",Resistance Heater,0.1,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Space Heating",Burner (Direct Heat),0.1,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Space Heating",Direct Heat,0.1,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Space Heating",Heat Pump (for Heating),0.1,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Water Heating",Boiler Systems,0.48,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Water Heating",Direct Heat,0.48,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Water Heating",Heat Pump (for Heating),0.48,TIMES-NZ 2.0
WSR,"Low Temperature Heat (<100 C), Water Heating",Hot Water Cylinder,0.48,TIMES-NZ 2.0
WSR,Space Cooling,Heat Pump (for Cooling),0.24,TIMES-NZ 2.0
WSR,Refrigeration,Refrigeration Systems,0.48,TIMES-NZ 2.0
WSR,"Intermediate Heat (100-300 C), Cooking",Cooking Elements,0.48,TIMES-NZ 2.0
