Year,TimeSlice,LoadCurve,Technology
2023,SUM-WE-N,0.013357855,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,SUM-WE-P,0.002464235,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,FAL-WK-D,0.134020282,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,FAL-WK-N,0.039804983,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,FAL-WK-P,0.009504366,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,FAL-WE-D,0.052551471,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,FAL-WE-N,0.013654696,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,FAL-WE-P,0.002518996,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,WIN-WK-D,0.134020282,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,WIN-WK-N,0.039804983,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,WIN-WK-P,0.009504366,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,WIN-WE-D,0.052551471,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,WIN-WE-N,0.013654696,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,WIN-WE-P,0.002518996,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,SPR-WK-D,0.13256354,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,SPR-WK-N,0.03937232,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,SPR-WK-P,0.009401058,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,SPR-WE-D,0.051980259,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,SPR-WE-N,0.013506276,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,SPR-WE-P,0.002491616,"C_OTH-*,-C_OTH-SH,-C_OTH-SC"
2023,SUM-WK-D,0.049770131,C_OTH-SH
2023,SUM-WK-N,0.014782085,C_OTH-SH
