TechName,Comm-In,Comm-Out,EFF,EFF~2030,EFF~2050,LIFE,INVCOST,INVCOST~2030,INVCOST~2050,FIXOM,AF,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
C_OTH-WH-Boiler-WOD,COMWOD,C_OTH-WH,0.85,,,30,1058.824,,,10,0.549133,0.1,0.3,3
C_OTH-WH-Boiler-PLT,COMPLT,C_OTH-WH,0.92,,,30,978.2609,,,10,0.549133,0.1,0.3,3
C_OTH-WH-Boiler-ELC,COMELC,C_OTH-WH,0.99,,,30,252.5253,,,2,0.549133,,,
C_OTH-WH-Boiler-BIM,COMBIM,C_OTH-WH,0.85,,,25,294.1176,,,2,0.549133,0,0,3
C_OTH-WH-Boiler-H2R,COMH2R,C_OTH-WH,0.75,,,25,366.6667,,,2,0.549133,0.03,0,3
C_OTH-SH-GHP-ELC,COMELC,C_OTH-SH,2.5,3.5,4,20,1846,1753.7,1718.626,0,0.1,0.7,1,3
C_OTH-WH-AirHP-ELC,COMELC,C_OTH-WH,2.5,3.5,4,20,1500,1425,1396.5,0,0.549133,0.7,1,3
C_OTH-WH-GHP-ELC,COMELC,C_OTH-WH,2.5,3.5,4,20,1846,1753.7,1718.626,0,0.549133,0.7,1,3
C_OTH-MPM-MPM-ELC,COMELC,C_OTH-MPM,0.99,,,10,188.8889,,,0,0.1,,,
C_OTH-MPM-MPM-H2R,COMH2R,C_OTH-MPM,0.5,0.6,0.65,10,876,832.2,815.556,2,0.1,,,
C_OTH-MPS-MPS-H2R,COMH2R,C_OTH-MPS,0.5,0.6,0.65,10,876,832.2,815.556,2,0.549133,,,
C_OTH-SC-GHP-ELC,COMELC,C_OTH-SC,3.5,4,4.5,10,1071.429,1017.857,997.5,0,0.108447,,,
C_DATA-SC-GHP-ELC,COMELC,C_DATA-SC,3.5,4,4.5,10,1071.429,1017.857,997.5,0,0.223772,,,
