Technology,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
C_OFFC-SH_Boiler-H2R,0.00,0.00,3
C_OFFC-WH_Boiler-COA,0.00,0.00,3
C_OFFC-WH_Boiler-DSL,0.00,0.00,3
C_OFFC-WH_Boiler-FOL,0.00,0.00,3
C_OFFC-WH_Boiler-LPG,0.10,0.10,3
C_OFFC-WH_Boiler-NGA,0.10,0.10,3
C_OFFC-WH_Boiler-WOD,0.10,0.30,3
C_OFFC-WH_Boiler-PLT,0.10,0.30,3
C_OFFC-WH_Boiler-ELC,0.10,0.20,3
C_OFFC-WH_Boiler-BIG,0.00,0.00,3
C_OFFC-WH_Boiler-H2R,0.00,0.00,3
C_OFFC-SH_AirHP-ELC,0.80,1.00,3
C_OFFC-SH_GHP-ELC,0.80,1.00,3
C_OFFC-SH_RH-ELC,0.30,0.20,3
C_OFFC-WH_AirHP-ELC,0.80,1.00,3
C_OFFC-WH_GHP-ELC,0.80,1.00,3
C_OFFC-WH_Cylinder-ELC,0.49,0.49,3
C_OFFC-WH_Cylinder-NGA,0.05,0.05,3
C_OFFC-WH_Cylinder-LPG,0.01,0.01,3
C_OFFC-WH_Instant-NGA,0.20,0.20,3
C_OFFC-WH_Instant-LPG,0.05,0.10,3
C_OFFC-WH_Instant-ELC,0.10,0.20,3
C_OFFC-MPM_-DSL,,,
C_OFFC-MPM_-PET,,,
C_OFFC-MPM_-LPG,,,
C_OFFC-MPM_-ELC,,,
C_OFFC-MPM_-H2R,0.00,0.30,3
C_OFFC-MPS_-DSL,,,
C_OFFC-MPS_-PET,,,
C_OFFC-MPS_-LPG,,,
C_OFFC-MPS_-ELC,,,
C_OFFC-MPS_-H2R,,,
C_OFFC-SC_AIRHP-ELC,,,
C_OFFC-SC_GHP-ELC,,,
C_WSR-OTH_ELEC-ELC,,,
C_WSR-CK_Elements-ELC,,,
C_WSR-CK_Induction-ELC,,,
C_WSR-CK_Elements-NGA,,,
C_WSR-CK_Elements-LPG,,,
C_WSR-CK_Elements-H2R,,,
C_WSR-CK_Ovens-ELC,,,
C_WSR-CK_Ovens-LPG,,,
C_WSR-CK_Ovens-NGA,,,
C_WSR-CK_Ovens-H2R,,,
C_WSR-LT_INC-ELC,,,
C_WSR-LT_FLU-ELC,,,
C_WSR-LT_LED-ELC,,,
C_WSR-SH_Boiler-COA,0.00,0.00,3
C_WSR-SH_Boiler-DSL,0.00,0.00,3
C_WSR-SH_Boiler-FOL,0.00,0.00,3
C_WSR-SH_Boiler-LPG,0.01,0.01,3
C_WSR-SH_Boiler-NGA,0.16,0.16,3
C_WSR-SH_Boiler-WOD,0.05,0.10,3
C_WSR-SH_Boiler-PLT,0.05,0.10,3
C_WSR-SH_Boiler-ELC,0.10,0.30,3
C_WSR-SH_Boiler-BIG,0.00,0.00,3
C_WSR-SH_Boiler-H2R,0.00,0.00,3
C_WSR-WH_Boiler-COA,0.00,0.00,3
C_WSR-WH_Boiler-DSL,0.00,0.00,3
C_WSR-WH_Boiler-FOL,0.00,0.00,3
C_WSR-WH_Boiler-LPG,0.00,0.00,3
C_WSR-WH_Boiler-NGA,0.00,0.00,3
C_WSR-WH_Boiler-WOD,0.02,0.05,3
C_WSR-WH_Boiler-PLT,0.02,0.05,3
C_WSR-WH_Boiler-ELC,0.10,0.30,3
C_WSR-WH_Boiler-BIG,0.00,0.00,3
C_WSR-WH_Boiler-H2R,0.00,0.00,3
C_WSR-SH_DirectH-GEO,0.04,0.04,3
C_WSR-SH_AirHP-ELC,0.70,1.00,3
C_WSR-SH_GHP-ELC,0.70,1.00,3
C_WSR-SH_RH-ELC,0.50,0.30,3
C_WSR-WH_AirHP-ELC,0.70,1.00,3
C_WSR-WH_GHP-ELC,0.70,1.00,3
C_WSR-WH_Cylinder-ELC,0.71,0.71,3
C_WSR-WH_Cylinder-NGA,0.28,0.28,3
C_WSR-WH_Cylinder-LPG,0.10,0.10,3
C_WSR-WH_INSTANT-NGA,0.20,0.20,3
C_WSR-WH_INSTANT-LPG,0.05,0.05,3
C_WSR-WH_INSTANT-ELC,0.10,0.10,3
C_WSR-MPM_-DSL,0.87,0.87,3
C_WSR-MPM_-PET,0.08,0.08,3
C_WSR-MPM_-LPG,0.06,0.06,3
C_WSR-MPM_-ELC,1.00,1.00,3
C_WSR-MPM_-H2R,0.10,0.30,3
C_WSR-MPS_-DSL,,,
C_WSR-MPS_-PET,,,
C_WSR-MPS_-LPG,,,
C_WSR-MPS_-ELC,,,
C_WSR-MPS_-H2R,,,
C_WSR-RF_Refriger-ELC,,,
C_WSR-SC_AIRHP-ELC,,,
C_WSR-SC_GHP-ELC,,,
C_OTH-OTH_Elec-ELC,,,
C_OTH-LT_INC-ELC,,,
C_OTH-LT_FLU-ELC,,,
C_OTH-LT_LED-ELC,,,
C_OTH-SH_Boiler-COA,1.00,0.00,3
C_OTH-SH_Boiler-DSL,0.10,0.00,3
C_OTH-SH_Boiler-FOL,0.00,0.00,3
C_OTH-SH_Boiler-LPG,0.00,0.00,3
C_OTH-SH_Boiler-NGA,0.41,0.30,3
C_OTH-SH_Boiler-WOD,0.10,0.30,3
C_OTH-SH_Boiler-PLT,0.10,0.30,3
C_OTH-SH_Boiler-ELC,0.10,0.30,3
C_OTH-SH_Boiler-BIG,0.00,0.00,3
C_OTH-SH_Boiler-H2R,0.03,0.00,3
C_OTH-WH_Boiler-COA,0.01,0.00,3
C_OTH-WH_Boiler-DSL,0.00,0.00,3
C_OTH-WH_Boiler-FOL,0.00,0.00,3
C_OTH-WH_Boiler-LPG,0.00,0.00,3
C_OTH-WH_Boiler-NGA,0.30,0.20,3
C_OTH-WH_Boiler-WOD,0.10,0.30,3
C_OTH-WH_Boiler-PLT,0.10,0.30,3
C_OTH-WH_Boiler-ELC,0.20,0.30,3
C_OTH-WH_Boiler-BIG,0.00,0.00,3
C_OTH-WH_Boiler-H2R,0.03,0.00,3
C_OTH-WH_DirectH-GEO,0.65,0.40,3
C_OTH-SH_AirHP-ELC,0.70,1.00,3
C_OTH-SH_GHP-ELC,0.70,1.00,3
C_OTH-SH_RH-ELC,0.40,0.35,3
C_OTH-WH_AirHP-ELC,0.70,1.00,3
C_OTH-WH_GHP-ELC,0.70,1.00,3
C_OTH-WH_Cylinder-ELC,0.40,0.40,3
C_OTH-WH_Cylinder-NGA,0.02,0.02,3
C_OTH-WH_Cylinder-LPG,0.00,0.00,3
C_OTH-WH_Instant-NGA,0.02,0.02,3
C_OTH-WH_Instant-LPG,0.02,0.02,3
C_OTH-WH_Instant-ELC,0.02,0.02,3
C_OTH-MPM_-DSL,0.73,0.73,3
C_OTH-MPM_-PET,0.19,0.19,3
,,,
,,,
