TimeSlice,LimType,Attribute,Year,Attrib_Cond,Val_Cond,AllRegions,NI,SI,Pset_Set,Pset_PN,Pset_PD,Pset_CI,Pset_CO,Cset_Set,Cset_CN,Cset_CD
,LO,NCAP_AFA,2020,,,1.3,,,DMD,T_F_V*ICE*,,,,,,
,LO,NCAP_AFA,2040,,,1.3,,,DMD,T_F_V*ICE*,,,,,,
,LO,NCAP_AFA,2050,,,0,,,DMD,T_F_V*ICE*,,,,,,
,LO,NCAP_AFA,0,,,5,,,DMD,T_F_V*ICE*,,,,,,
