Process
UREA-NGA-REFRM-PH_HIGH-CLOSURE
UREA-NGA-COMPR-MTV_STA-CLOSURE
UREA-NGA-FDSTK-FDSTK-CLOSURE
METH-NGA-REFRM-PH_HIGH-CLOSURE
METH-NGA-FDSTK-FDSTK-CLOSURE
