techname,sets,tact,tcap
ELC_WindOn_GenericWind63,ELE,PJ,GW
ELC_WindOn_GenericWind65,ELE,PJ,GW
ELC_WindOn_GenericWind66,ELE,PJ,GW
ELC_WindOn_GenericWind69,ELE,PJ,GW
ELC_WindOn_GenericWind70,ELE,PJ,GW
ELC_WindOn_GenericWind71,ELE,PJ,GW
ELC_WindOn_GenericWind72,ELE,PJ,GW
ELC_WindOn_GenericWind73,ELE,PJ,GW
ELC_WindOn_GenericWind74,ELE,PJ,GW
ELC_WindOn_GenericWind75,ELE,PJ,GW
ELC_WindOn_GenericWind76,ELE,PJ,GW
ELC_WindOn_GenericWind77,ELE,PJ,GW
ELC_WindOn_GenericWind79,ELE,PJ,GW
ELC_WindOn_GenericWind80,ELE,PJ,GW
ELC_WindOn_GenericWind82,ELE,PJ,GW
ELC_SolarFixed_GenericSolar10,ELE,PJ,GW
ELC_SolarFixed_GenericSolar23,ELE,PJ,GW
ELC_SolarFixed_GenericSolar26,ELE,PJ,GW
ELC_SolarFixed_GenericSolar30,ELE,PJ,GW
ELC_SolarFixed_GenericSolar31,ELE,PJ,GW
ELC_SolarFixed_GenericSolar35,ELE,PJ,GW
ELC_SolarFixed_GenericSolar36,ELE,PJ,GW
ELC_SolarFixed_GenericSolar38,ELE,PJ,GW
ELC_SolarFixed_GenericSolar42,ELE,PJ,GW
ELC_SolarFixed_GenericSolar45,ELE,PJ,GW
ELC_SolarFixed_GenericSolar47,ELE,PJ,GW
ELC_SolarFixed_GenericSolar48,ELE,PJ,GW
ELC_SolarFixed_GenericSolar55,ELE,PJ,GW
ELC_SolarFixed_GenericSolar57,ELE,PJ,GW
ELC_SolarFixed_GenericSolar60,ELE,PJ,GW
ELC_SolarFixed_GenericSolar65,ELE,PJ,GW
ELC_SolarFixed_GenericSolar73,ELE,PJ,GW
ELC_SolarFixed_GenericSolar74,ELE,PJ,GW
ELC_SolarFixed_GenericSolar77,ELE,PJ,GW
ELC_SolarFixed_GenericSolar78,ELE,PJ,GW
ELC_SolarFixed_GenericSolar83,ELE,PJ,GW
ELC_SolarFixed_GenericSolar84,ELE,PJ,GW
