Gen_Code,POC_Code,Fuel_Code
Harapaki,HRP2201,Wind
KaiweraDowns,GOR0331,Wind
McKee,MKE1101,Gas
Ngatamariki,NAP2202,Geo
Tauhara,TAB2201,Geo
Waipori,HWB0331,Hydro
aniwhenua,MAT1101,Hydro
arapuni,ARI1101,Hydro
arapuni,ARI1102,Hydro
aratiatia,ARA2201,Hydro
argyle_wairau,ARG1101,Hydro
atiamuri,ATI2201,Hydro
aviemore,AVI2201,Hydro
benmore,BEN2202,Hydro
clyde,CYD2201,Hydro
cobb,STK0661,Hydro
coleridge,COL0661,Hydro
glenbrook_kilns,GLN0332,Gas
highbank,ASB0661,Hydro
huntly_1_4,HLY2201,Coal
huntly_e3p,HLY2201,Gas
huntly_p40,HLY2201,Gas
junctionroad,JRD1101,Gas
kaimai,TGA0331,Hydro
kapuni,KPA1101,Gas
karapiro,KPO1101,Hydro
kawerau,KAW0111,Geo
kawerau_new,KAW1101,Geo
kinleith,KIN0112,Wood
manapouri,MAN2201,Hydro
mangahao,MHO0331,Hydro
maraetai,MTI2201,Hydro
mill_creek,WIL0331,Wind
mokai,WKM2201,Geo
nap,NAP2201,Geo
ngawha,KOE1101,Geo
norskeskog,KAW0112,Geo
ohaaki,OKI2201,Geo
ohakuri,OHK2201,Hydro
ohau_a,OHA2201,Hydro
ohau_b,OHB2201,Hydro
ohau_c,OHC2201,Hydro
paerau,NSY0331,Hydro
patea,HWA1101,Hydro
poihipi,PPI2201,Geo
rangipo,RPO2201,Hydro
rotokawa,WRK0331,Geo
roxburgh,ROX1101,Hydro
roxburgh,ROX2201,Hydro
southdown,SWN2201,Gas
stratford,SFD2201,Gas
te_apiti,WDV1101,Wind
te_mihi,THI2201,Geo
te_rapa,TWH0331,Gas
te_rere_hau,TWC2201,Wind
te_uku,TWH0331,Wind
tehuka,WRK0331,Geo
tekapo_a,TKA0111,Hydro
tekapo_b,TKB2201,Hydro
teviot,CYD0331,Hydro
tokaanu,TKU2201,Hydro
turitea,LTN2201,Wind
twf_12,BPE0331,Wind
twf_12,LTN0331,Wind
twf_3,TWC2201,Wind
waikaremoana,TUI1101,Hydro
waipapa,WPA2201,Hydro
waipipi,WVY1101,Wind
waipori,BWK1101,Hydro
waipori,WPG0331,Hydro
wairakei,WRK2201,Geo
waitaki,WTK0111,Hydro
west_wind,WWD1102,Wind
west_wind,WWD1103,Wind
whakamaru,WKM2201,Hydro
whareroa,HWA1101,Gas
whareroa,HWA1102,Gas
wheao_flaxy,ROT1101,Hydro
whirinaki,WHI2201,Diesel
white_hill,NMA0331,Wind
