Process,CommodityIn,CommodityOut,Sector,EnduseGroup,EndUse,TechnologyGroup,Technology
C_HLTH-WH-Instant-ELC,COMELC,C_HLTH-WH,Healthcare,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Instantaneous Water Heater
C_HLTH-MPM-MPM-PET,COMPET,C_HLTH-MPM,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_HLTH-MPM-MPM-LPG,COMLPG,C_HLTH-MPM,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_HLTH-MPM-MPM-ELC,COMELC,C_HLTH-MPM,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_HLTH-MPM-MPM-H2R,COMH2R,C_HLTH-MPM,Healthcare,Mobile Motive Power,"Motive Power, Mobile",Mobile Motors,Internal Combustion Engine (Land Transport)
C_HLTH-MPS-MPS-DSL,COMDSL,C_HLTH-MPS,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_HLTH-MPS-MPS-PET,COMPET,C_HLTH-MPS,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_HLTH-MPS-MPS-LPG,COMLPG,C_HLTH-MPS,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_HLTH-MPS-MPS-H2R,COMH2R,C_HLTH-MPS,Healthcare,Stationary Motive Power,"Motive Power, Stationary",Stationary Motors,Stationary Engine
C_HLTH-SC-GHP-ELC,COMELC,C_HLTH-SC,Healthcare,Heating/Cooling,Space Cooling,Heat/Cooling Devices,Heat Pump Ground Source (for Cooling)
C_OFFC-SH-Boiler-LPG,COMLPG,C_OFFC-SH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-SH-Boiler-WOD,COMWOD,C_OFFC-SH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-SH-Boiler-PLT,COMPLT,C_OFFC-SH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-SH-Boiler-ELC,COMELC,C_OFFC-SH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-SH-Boiler-BIG,COMBIG,C_OFFC-SH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-SH-Boiler-H2R,COMH2R,C_OFFC-SH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Space Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-WH-Boiler-LPG,COMLPG,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-WH-Boiler-NGA,COMNGA,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-WH-Boiler-WOD,COMWOD,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
C_OFFC-WH-Boiler-PLT,COMPLT,C_OFFC-WH,Office Blocks,Heating/Cooling,"Low Temperature Heat (<100 C), Water Heating",Heat/Cooling Devices,Boiler Systems
