UC_N,Pset_Set,Pset_PN,Year,LimType,UC_CAP,UC_RHSRT~NI,UC_RHSRT~SI,UC_RHSRT~0,UC_Desc
UC_WIND_CONSENTED,ELE,EWIN*CONS*,2021,UP,1,1.638,0.508,5,Onshore (consented/initial works completed) wind potential 2021
UC_WIND_HIGHCF,ELE,EWIN*HIG*,2030,UP,1,2.865,1.55,5,Onshore (High capacity Factor) wind potential 2030
UC_WIND_LOWCF,ELE,EWIN*LOW*,2030,UP,1,3.4,0.675,5,Onshore (Low capacity Factor) wind potential 2030
UC_WIND_DISTR,ELE,EWIN*DIST*,2030,UP,1,0.29,0.215,5,Onshore (small - locally embedded) wind potential 2030
