CommName,TRANGA,TRALPG,TRAPET,TRADSL,TRAJET,TRAFOL
*Units,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ,kt/PJ
TRACO2,53.96,60.43,66.58,69.69,68.53,73.63
