STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,SCENARIO_POPPR_NAT_008,Scenario,YEAR_POPPR_NAT_008,Year,MEASURE_POPPR_NAT_008,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2028,2028,NATINC,,12600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2028,2028,NETMIG,,-18200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2028,2028,TOTPOP,,5361200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2029,2029,BTH,,50400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2029,2029,DTH,,37800,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2029,2029,NATINC,,10900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2029,2029,NETMIG,,-16700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2029,2029,TOTPOP,,5392900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2030,2030,BTH,,49500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2030,2030,DTH,,38400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2030,2030,NATINC,,9200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2030,2030,NETMIG,,-15700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2030,2030,TOTPOP,,5425500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2031,2031,BTH,,48700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2031,2031,DTH,,39100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2031,2031,NATINC,,7800,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2031,2031,NETMIG,,-15200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2031,2031,TOTPOP,,5463100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2032,2032,BTH,,48300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2032,2032,DTH,,39900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2032,2032,NATINC,,6600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2032,2032,NETMIG,,-15000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2032,2032,TOTPOP,,5505700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2033,2033,BTH,,47700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2033,2033,DTH,,40700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2033,2033,NATINC,,5100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2033,2033,NETMIG,,-14700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2033,2033,TOTPOP,,5540900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2034,2034,BTH,,47400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2034,2034,DTH,,41500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2034,2034,NATINC,,3700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2034,2034,NETMIG,,-14500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2034,2034,TOTPOP,,5573500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2035,2035,BTH,,47200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2035,2035,DTH,,42400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2035,2035,NATINC,,2600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2035,2035,NETMIG,,-14200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2035,2035,TOTPOP,,5611100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2036,2036,BTH,,46900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2036,2036,DTH,,43100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2036,2036,NATINC,,1300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2036,2036,NETMIG,,-14000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2036,2036,TOTPOP,,5648900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2037,2037,BTH,,46700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2037,2037,DTH,,44100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2037,2037,NATINC,,0,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2037,2037,NETMIG,,-13700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2037,2037,TOTPOP,,5680600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2038,2038,BTH,,46300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2038,2038,DTH,,44900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2038,2038,NATINC,,-900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2038,2038,NETMIG,,-13500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2038,2038,TOTPOP,,5714900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2039,2039,BTH,,46400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2039,2039,DTH,,45700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2039,2039,NATINC,,-2500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2039,2039,NETMIG,,-13200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2039,2039,TOTPOP,,5747700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2040,2040,BTH,,45900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2040,2040,DTH,,46700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2040,2040,NATINC,,-3600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2040,2040,NETMIG,,-13000,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2040,2040,TOTPOP,,5780100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2041,2041,BTH,,45600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2041,2041,DTH,,47600,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2041,2041,NATINC,,-4800,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2041,2041,NETMIG,,-12700,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2041,2041,TOTPOP,,5819200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2042,2042,BTH,,45500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2042,2042,DTH,,48300,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2042,2042,NATINC,,-5900,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2042,2042,NETMIG,,-12500,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2042,2042,TOTPOP,,5850100,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2043,2043,BTH,,45400,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2043,2043,DTH,,49200,
DATAFLOW,STATSNZ:POPPR_NAT_008(1.0),"National population projections, characteristics, 2024(base)-2078",I,P05,5th percentile,2043,2043,NATINC,,-6600,
