STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,ETHNICITY_POPPR_ETH_005,Ethnicity,PROJECTION_POPPR_ETH_005,Projection,AREA_POPPR_ETH_005,Area,YEAR_POPPR_ETH_005,Year,MEASURE_POPPR_ETH_005,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,04,Bay of Plenty region,2028,2028,TOTPOP,,361700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,04,Bay of Plenty region,2033,2033,TOTPOP,,374400,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,04,Bay of Plenty region,2038,2038,TOTPOP,,385500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,04,Bay of Plenty region,2043,2043,TOTPOP,,395500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,05,Gisborne region,2018,2018,TOTPOP,,49500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,05,Gisborne region,2023,2023,TOTPOP,,51900,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,05,Gisborne region,2028,2028,TOTPOP,,53100,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,05,Gisborne region,2033,2033,TOTPOP,,54000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,05,Gisborne region,2038,2038,TOTPOP,,54600,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,05,Gisborne region,2043,2043,TOTPOP,,55000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,06,Hawke's Bay region,2018,2018,TOTPOP,,172400,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,06,Hawke's Bay region,2023,2023,TOTPOP,,181800,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,06,Hawke's Bay region,2028,2028,TOTPOP,,187500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,06,Hawke's Bay region,2033,2033,TOTPOP,,192400,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,06,Hawke's Bay region,2038,2038,TOTPOP,,196400,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,06,Hawke's Bay region,2043,2043,TOTPOP,,199600,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,07,Taranaki region,2018,2018,TOTPOP,,121200,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,07,Taranaki region,2023,2023,TOTPOP,,126700,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,07,Taranaki region,2028,2028,TOTPOP,,130200,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,07,Taranaki region,2033,2033,TOTPOP,,133000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,07,Taranaki region,2038,2038,TOTPOP,,135200,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,07,Taranaki region,2043,2043,TOTPOP,,137000,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,08,Manawatu-Whanganui region,2018,2018,TOTPOP,,247500,
DATAFLOW,STATSNZ:POPPR_ETH_005(1.0),"Subnational ethnic population projections, characteristics, 2018(base)-2043",I,NZPOP,Total population,MEDIUM,Medium,08,Manawatu-Whanganui region,2023,2023,TOTPOP,,258700,
