UC_N,Pset_Set,Pset_PN,Year,LimType,UC_CAP,UC_RHSRT~NI,UC_RHSRT~SI,UC_RHSRT~0,UC_Desc
UC_GEO_SMALLBINARY,ELE,EGEOBI*,2030,UP,1,0.345,0,5,Geothermal potential for small binary technologies
,,,2035,,,0.375,0,,
,,,2040,,,0.635,0,,
,,,2050,,,0.685,0,,
