UC_N,Pset_Set,Pset_PN,Year,LimType,UC_CAP,UC_RHSRT~NI,UC_RHSRT~SI,UC_RHSRT~0,UC_Desc
UC_GEO_LARGEFLASH,ELE,EGEOC*FLSH*,2021,UP,1,0.125,0,5,Geothermal potential for large flash technologies
,,,2025,,,0.25,0,,
