UC_N,Pset_Set,Pset_PN,Year,LimType,UC_CAP,UC_RHSRT~NI,UC_RHSRT~SI,UC_RHSRT~0,UC_Desc
UC_GEO_SMALLFLASH,ELE,EGEOF*,2030,UP,1,0.295,0,5,Geothermal potential for small flash technologies
,,,2035,,,0.325,0,,
,,,2040,,,0.575,0,,
,,,2050,,,0.625,0,,
