Attribute,Commodity,Process,Period,Region,Vintage,TimeSlice,UserConstraint,Value,Scenario,Variable,ProcessGroup,Description,Fuel,CommodityGroup
VAR_FOut,COA,IMPNRGZ,2025,NI,2025,ANNUAL,-,17.1830111186133,traditional-v3_0_0,Production,Production,Infeasible Energy,Coal,Energy
VAR_FOut,LPG,IMPNRGZ,2025,NI,2025,ANNUAL,-,4.90752077571748,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,AGRDSL,IMPNRGZ,2025,NI,2025,ANNUAL,-,6.41633040357678,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,AGRPET,IMPNRGZ,2025,NI,2025,ANNUAL,-,0.941748587999982,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,COMDSL,IMPNRGZ,2025,NI,2025,ANNUAL,-,6.00382532279999,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,COMLPG,IMPNRGZ,2025,NI,2025,ANNUAL,-,1.29122320193333,traditional-v3_0_0,Production,Production,Infeasible Energy,LPG,Energy
VAR_FOut,COMPET,IMPNRGZ,2025,NI,2025,ANNUAL,-,0.296519138999999,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,FOL,IMPNRGZ,2025,NI,2025,ANNUAL,-,3.43114330820737,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDDSL,IMPNRGZ,2025,NI,2025,ANNUAL,-,10.78892386625,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,INDFOL,IMPNRGZ,2025,NI,2025,ANNUAL,-,0.567617471999994,traditional-v3_0_0,Production,Production,Infeasible Energy,Fuel oil,Energy
VAR_FOut,INDPET,IMPNRGZ,2025,NI,2025,ANNUAL,-,0.164189597749989,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
VAR_FOut,RESDSL,IMPNRGZ,2025,NI,2025,ANNUAL,-,1.70973428563735,traditional-v3_0_0,Production,Production,Infeasible Energy,Diesel,Energy
VAR_FOut,RESPET,IMPNRGZ,2025,NI,2025,ANNUAL,-,9.32155547150481,traditional-v3_0_0,Production,Production,Infeasible Energy,Petrol,Energy
