Csets,CommName,CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
\I: Commodity Set Membership,Commodity Name,Commodity Description,Unit,Balance Equ Type Override,Timeslice Tracking Level,Peak Monitoring,Electricity Indicator
