UC_N,Pset_PN,UC_ATTR,Year,LimType,UC_CAP,UC_CAP~RHS,UC_RHSRT,UC_RHSRT~0
T_P_CPHEVDSL_MED_SHR,T_P_CPHEVDSL_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CPHEVDSL_LOW,T_P_CPHEVDSL_HIGH",,,,-0.3333,,,
T_P_CPHEVDSL_LOW_SHR,T_P_CPHEVDSL_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CPHEVDSL_MED,T_P_CPHEVDSL_HIGH",,,,-0.3333,,,
T_P_CPHEVDSL_HIGH_SHR,T_P_CPHEVDSL_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_CPHEVDSL_LOW,T_P_CPHEVDSL_MED",,,,-0.3333,,,
T_C_CICEPET_MED_SHR,T_C_CICEPET_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICEPET_LOW,T_C_CICEPET_HIGH",,,,-0.3333,,,
T_C_CICEPET_LOW_SHR,T_C_CICEPET_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICEPET_MED,T_C_CICEPET_HIGH",,,,-0.3333,,,
T_C_CICEPET_HIGH_SHR,T_C_CICEPET_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICEPET_LOW,T_C_CICEPET_MED",,,,-0.3333,,,
T_C_CICEDSL_MED_SHR,T_C_CICEDSL_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICEDSL_LOW,T_C_CICEDSL_HIGH",,,,-0.3333,,,
T_C_CICEDSL_LOW_SHR,T_C_CICEDSL_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICEDSL_MED,T_C_CICEDSL_HIGH",,,,-0.3333,,,
T_C_CICEDSL_HIGH_SHR,T_C_CICEDSL_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICEDSL_LOW,T_C_CICEDSL_MED",,,,-0.3333,,,
T_C_CBEVNEW_MED_SHR,T_C_CBEVNEW_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CBEVNEW_LOW,T_C_CBEVNEW_HIGH",,,,-0.3333,,,
T_C_CBEVNEW_LOW_SHR,T_C_CBEVNEW_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CBEVNEW_MED,T_C_CBEVNEW_HIGH",,,,-0.3333,,,
T_C_CBEVNEW_HIGH_SHR,T_C_CBEVNEW_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CBEVNEW_LOW,T_C_CBEVNEW_MED",,,,-0.3333,,,
T_C_CBEVELC_MED_SHR,T_C_CBEVELC_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CBEVELC_LOW,T_C_CBEVELC_HIGH",,,,-0.3333,,,
T_C_CBEVELC_LOW_SHR,T_C_CBEVELC_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CBEVELC_MED,T_C_CBEVELC_HIGH",,,,-0.3333,,,
T_C_CBEVELC_HIGH_SHR,T_C_CBEVELC_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CBEVELC_LOW,T_C_CBEVELC_MED",,,,-0.3333,,,
T_C_CICELPG_MED_SHR,T_C_CICELPG_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICELPG_LOW,T_C_CICELPG_HIGH",,,,-0.3333,,,
T_C_CICELPG_LOW_SHR,T_C_CICELPG_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICELPG_MED,T_C_CICELPG_HIGH",,,,-0.3333,,,
T_C_CICELPG_HIGH_SHR,T_C_CICELPG_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CICELPG_LOW,T_C_CICELPG_MED",,,,-0.3333,,,
T_C_CFCH2R_MED_SHR,T_C_CFCH2R_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CFCH2R_LOW,T_C_CFCH2R_HIGH",,,,-0.3333,,,
T_C_CFCH2R_LOW_SHR,T_C_CFCH2R_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CFCH2R_MED,T_C_CFCH2R_HIGH",,,,-0.3333,,,
T_C_CFCH2R_HIGH_SHR,T_C_CFCH2R_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CFCH2R_LOW,T_C_CFCH2R_MED",,,,-0.3333,,,
T_C_CPHEVDSL_MED_SHR,T_C_CPHEVDSL_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CPHEVDSL_LOW,T_C_CPHEVDSL_HIGH",,,,-0.3333,,,
T_C_CPHEVDSL_LOW_SHR,T_C_CPHEVDSL_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CPHEVDSL_MED,T_C_CPHEVDSL_HIGH",,,,-0.3333,,,
T_C_CPHEVDSL_HIGH_SHR,T_C_CPHEVDSL_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_C_CPHEVDSL_LOW,T_C_CPHEVDSL_MED",,,,-0.3333,,,
T_P_MICEPET_MED_SHR,T_P_MICEPET_MED,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_MICEPET_LOW,T_P_MICEPET_HIGH",,,,-0.3333,,,
T_P_MICEPET_LOW_SHR,T_P_MICEPET_LOW,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_MICEPET_MED,T_P_MICEPET_HIGH",,,,-0.3333,,,
T_P_MICEPET_HIGH_SHR,T_P_MICEPET_HIGH,"CAP,SYNC",,LO,0.6667,0,0,5
,"T_P_MICEPET_LOW,T_P_MICEPET_MED",,,,-0.3333,,,
