UC_N,Pset_Set,Pset_PN,Year,LimType,UC_CAP,UC_RHST,UC_RHST~0,UC_Desc
UC_SOLARPV_GRDIST,ELE,ESO*DIST*,2025,UP,1,0.33,3,Ground based solar (fixed - distributed)
,,,2030,,,1.68,,
