UC_N,Pset_Set,Pset_PN,Year,LimType,UC_NCAP~2020,UC_NCAP~2025,UC_NCAP~2030,UC_NCAP~2050,UC_RHST,UC_RHST~0,UC_Desc
MAX_PHEV_UPTAKE_commercial,,T_C_C*PHEV*,2020,LO,-0.99,-0.98,-0.96,-0.83,0,5,Max number of PHEV commerical cars per year
,,"T_C_C*,-T_C_C*PHEV*",,,0.01,0.02,0.04,0.17,,,
