SectorGroup,Sector,SectorANZSIC,FuelGroup,Fuel,TechnologyGroup,Technology,EnduseGroup,EndUse,Transport,Unit,2017,2018,2019,2020,2021,2022,2023,2024
Industrial,Industrial - Unallocated,Z003,Electricity,Electricity,Unallocated,Unallocated,Unallocated,Unallocated,Non-Transport,TJ,3227.95,3331.03,3096.74,2877.70,2731.97,3249.72,3464.48,3879.93
