Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193604

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Industrial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/12/2013,13,Canterbury,All combined,Solar (All),24,0.12555,0.113,4.704,0,
31/12/2013,14,Otago,All combined,Solar (All),5,0.07903,0.071,14.200,0,
31/12/2013,15,Southland,All combined,Solar (All),1,0.01609,0.001,1.300,0,
31/01/2014,1,Northland,All combined,Solar (All),12,0.20704,0.064,5.300,0,
31/01/2014,2,Auckland,All combined,Solar (All),12,0.08793,0.097,8.103,1,4.500
31/01/2014,3,Waikato,All combined,Solar (All),5,0.03265,0.060,12.040,0,
31/01/2014,4,Bay of Plenty,All combined,Solar (All),5,0.10941,0.080,15.980,0,
31/01/2014,6,Hawke's Bay,All combined,Solar (All),2,0.03676,0.030,14.950,0,
31/01/2014,7,Taranaki,All combined,Solar (All),2,0.04751,0.009,4.500,0,
31/01/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02411,0.015,7.300,0,
31/01/2014,9,Wellington,All combined,Solar (All),5,0.09379,0.045,9.020,1,3.000
31/01/2014,16,Tasman,All combined,Solar (All),1,0.04907,0.002,2.400,0,
31/01/2014,17,Nelson,All combined,Solar (All),4,0.42463,0.028,7.025,0,
31/01/2014,18,Marlborough,All combined,Solar (All),6,0.49917,0.066,11.000,2,1.000
31/01/2014,13,Canterbury,All combined,Solar (All),25,0.12932,0.118,4.716,1,5.000
31/01/2014,14,Otago,All combined,Solar (All),5,0.07839,0.071,14.200,0,
31/01/2014,15,Southland,All combined,Solar (All),2,0.03218,0.005,2.650,1,4.000
28/02/2014,1,Northland,All combined,Solar (All),11,0.19025,0.061,5.509,0,
28/02/2014,2,Auckland,All combined,Solar (All),15,0.10964,0.109,7.256,3,3.867
28/02/2014,3,Waikato,All combined,Solar (All),6,0.03913,0.084,14.033,1,24.000
28/02/2014,4,Bay of Plenty,All combined,Solar (All),6,0.13146,0.088,14.667,1,8.100
28/02/2014,6,Hawke's Bay,All combined,Solar (All),2,0.03674,0.030,14.950,0,
28/02/2014,7,Taranaki,All combined,Solar (All),2,0.04773,0.009,4.500,0,
28/02/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02415,0.015,7.300,0,
28/02/2014,9,Wellington,All combined,Solar (All),6,0.11188,0.050,8.350,1,5.000
28/02/2014,16,Tasman,All combined,Solar (All),1,0.04904,0.002,2.400,0,
28/02/2014,17,Nelson,All combined,Solar (All),4,0.42017,0.028,7.025,0,
28/02/2014,18,Marlborough,All combined,Solar (All),6,0.49834,0.066,11.000,0,
28/02/2014,13,Canterbury,All combined,Solar (All),26,0.13403,0.123,4.727,1,5.000
28/02/2014,14,Otago,All combined,Solar (All),6,0.09374,0.074,12.333,1,3.000
28/02/2014,15,Southland,All combined,Solar (All),4,0.06439,0.056,13.968,2,25.285
31/03/2014,1,Northland,All combined,Solar (All),11,0.18904,0.061,5.509,0,
31/03/2014,2,Auckland,All combined,Solar (All),13,0.09419,0.102,7.872,0,
31/03/2014,3,Waikato,All combined,Solar (All),9,0.05864,0.142,15.800,3,19.333
31/03/2014,4,Bay of Plenty,All combined,Solar (All),6,0.13143,0.088,14.667,0,
31/03/2014,6,Hawke's Bay,All combined,Solar (All),3,0.05490,0.050,16.633,1,20.000
31/03/2014,7,Taranaki,All combined,Solar (All),2,0.04773,0.009,4.500,0,
31/03/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02413,0.015,7.300,0,
31/03/2014,9,Wellington,All combined,Solar (All),7,0.12939,0.078,11.157,2,16.500
31/03/2014,16,Tasman,All combined,Solar (All),1,0.04897,0.002,2.400,0,
31/03/2014,17,Nelson,All combined,Solar (All),4,0.41667,0.028,7.025,0,
31/03/2014,18,Marlborough,All combined,Solar (All),7,0.57995,0.067,9.571,1,1.000
31/03/2014,13,Canterbury,All combined,Solar (All),27,0.13853,0.168,6.219,2,22.000
31/03/2014,14,Otago,All combined,Solar (All),7,0.10912,0.084,12.000,1,10.000
31/03/2014,15,Southland,All combined,Solar (All),4,0.06428,0.056,13.968,0,
30/04/2014,1,Northland,All combined,Solar (All),11,0.18910,0.061,5.509,0,
30/04/2014,2,Auckland,All combined,Solar (All),13,0.09410,0.102,7.872,0,
30/04/2014,3,Waikato,All combined,Solar (All),10,0.06515,0.146,14.620,0,
30/04/2014,4,Bay of Plenty,All combined,Solar (All),6,0.13123,0.088,14.667,0,
30/04/2014,6,Hawke's Bay,All combined,Solar (All),5,0.09158,0.065,12.980,2,7.500
30/04/2014,7,Taranaki,All combined,Solar (All),2,0.04760,0.009,4.500,0,
30/04/2014,8,Manawatu-Wanganui,All combined,Solar (All),2,0.02416,0.015,7.300,0,
30/04/2014,9,Wellington,All combined,Solar (All),8,0.14728,0.137,17.138,1,5.000
30/04/2014,16,Tasman,All combined,Solar (All),1,0.04900,0.002,2.400,0,
30/04/2014,17,Nelson,All combined,Solar (All),4,0.41885,0.028,7.025,0,
30/04/2014,18,Marlborough,All combined,Solar (All),7,0.57947,0.067,9.571,0,
30/04/2014,13,Canterbury,All combined,Solar (All),28,0.14300,0.170,6.068,1,2.000
30/04/2014,14,Otago,All combined,Solar (All),8,0.12399,0.094,11.750,1,10.000
30/04/2014,15,Southland,All combined,Solar (All),3,0.04815,0.052,17.290,0,
