Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193423

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Residential
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/10/2015,15,Southland,All combined,Solar (All),150,0.36672,0.707,4.715,5,5.000
30/11/2015,1,Northland,All combined,Solar (All),450,0.62252,1.689,3.754,36,4.107
30/11/2015,2,Auckland,All combined,Solar (All),2360,0.45963,7.964,3.375,92,3.537
30/11/2015,3,Waikato,All combined,Solar (All),937,0.51037,2.973,3.173,46,2.609
30/11/2015,4,Bay of Plenty,All combined,Solar (All),395,0.33260,1.401,3.547,18,3.194
30/11/2015,5,Gisborne,All combined,Solar (All),45,0.29090,0.161,3.583,4,1.865
30/11/2015,6,Hawke's Bay,All combined,Solar (All),355,0.54104,1.384,3.898,12,3.233
30/11/2015,7,Taranaki,All combined,Solar (All),177,0.36693,0.613,3.464,9,3.278
30/11/2015,8,Manawatu-Wanganui,All combined,Solar (All),331,0.33543,1.167,3.527,16,3.389
30/11/2015,9,Wellington,All combined,Solar (All),702,0.35988,2.368,3.373,19,3.232
30/11/2015,16,Tasman,All combined,Solar (All),238,1.21330,0.965,4.053,5,3.028
30/11/2015,17,Nelson,All combined,Solar (All),208,0.99957,0.715,3.438,9,2.844
30/11/2015,18,Marlborough,All combined,Solar (All),169,0.79526,0.589,3.487,13,2.415
30/11/2015,12,West Coast,All combined,Solar (All),14,0.09376,0.046,3.271,0,
30/11/2015,13,Canterbury,All combined,Solar (All),1517,0.63957,5.585,3.682,65,3.606
30/11/2015,14,Otago,All combined,Solar (All),526,0.55550,1.885,3.583,19,3.523
30/11/2015,15,Southland,All combined,Solar (All),151,0.36891,0.712,4.717,1,5.000
31/12/2015,1,Northland,All combined,Solar (All),475,0.65692,1.783,3.754,25,3.636
31/12/2015,2,Auckland,All combined,Solar (All),2461,0.47971,8.307,3.375,101,3.350
31/12/2015,3,Waikato,All combined,Solar (All),984,0.53652,3.128,3.179,47,3.309
31/12/2015,4,Bay of Plenty,All combined,Solar (All),407,0.34210,1.445,3.551,12,3.671
31/12/2015,5,Gisborne,All combined,Solar (All),49,0.31711,0.173,3.536,4,3.000
31/12/2015,6,Hawke's Bay,All combined,Solar (All),381,0.57988,1.469,3.855,25,3.002
31/12/2015,7,Taranaki,All combined,Solar (All),183,0.38081,0.630,3.443,6,2.833
31/12/2015,8,Manawatu-Wanganui,All combined,Solar (All),351,0.35597,1.231,3.508,20,3.192
31/12/2015,9,Wellington,All combined,Solar (All),730,0.37402,2.466,3.378,28,3.335
31/12/2015,16,Tasman,All combined,Solar (All),245,1.24847,0.997,4.071,7,4.397
31/12/2015,17,Nelson,All combined,Solar (All),222,1.06424,0.747,3.364,14,2.256
31/12/2015,18,Marlborough,All combined,Solar (All),177,0.83231,0.621,3.510,8,3.988
31/12/2015,12,West Coast,All combined,Solar (All),14,0.09376,0.046,3.271,0,
31/12/2015,13,Canterbury,All combined,Solar (All),1586,0.66722,5.837,3.681,70,3.843
31/12/2015,14,Otago,All combined,Solar (All),546,0.57631,1.966,3.601,20,4.060
31/12/2015,15,Southland,All combined,Solar (All),159,0.38822,0.747,4.700,8,4.388
31/01/2016,1,Northland,All combined,Solar (All),497,0.68894,1.870,3.763,22,3.851
31/01/2016,2,Auckland,All combined,Solar (All),2505,0.48862,8.430,3.365,51,2.875
31/01/2016,3,Waikato,All combined,Solar (All),1024,0.55900,3.253,3.176,40,3.028
31/01/2016,4,Bay of Plenty,All combined,Solar (All),425,0.35712,1.492,3.510,18,2.586
31/01/2016,5,Gisborne,All combined,Solar (All),52,0.33703,0.182,3.505,3,3.000
31/01/2016,6,Hawke's Bay,All combined,Solar (All),397,0.60398,1.528,3.849,16,3.656
31/01/2016,7,Taranaki,All combined,Solar (All),192,0.40166,0.663,3.452,9,3.622
31/01/2016,8,Manawatu-Wanganui,All combined,Solar (All),359,0.36576,1.257,3.501,8,3.188
31/01/2016,9,Wellington,All combined,Solar (All),748,0.38336,2.520,3.369,19,3.068
31/01/2016,16,Tasman,All combined,Solar (All),248,1.26589,1.005,4.051,3,2.577
31/01/2016,17,Nelson,All combined,Solar (All),229,1.09732,0.765,3.340,7,2.596
31/01/2016,18,Marlborough,All combined,Solar (All),180,0.84618,0.628,3.491,3,2.400
31/01/2016,12,West Coast,All combined,Solar (All),15,0.10075,0.048,3.187,1,2.000
31/01/2016,13,Canterbury,All combined,Solar (All),1625,0.68337,5.986,3.683,39,3.801
31/01/2016,14,Otago,All combined,Solar (All),555,0.58638,1.996,3.597,10,2.770
31/01/2016,15,Southland,All combined,Solar (All),162,0.39550,0.761,4.699,3,4.667
29/02/2016,1,Northland,All combined,Solar (All),516,0.71532,1.928,3.736,21,3.124
29/02/2016,2,Auckland,All combined,Solar (All),2567,0.50022,8.621,3.358,61,3.063
29/02/2016,3,Waikato,All combined,Solar (All),1064,0.58054,3.375,3.172,40,3.064
29/02/2016,4,Bay of Plenty,All combined,Solar (All),442,0.37116,1.558,3.525,17,3.909
29/02/2016,5,Gisborne,All combined,Solar (All),58,0.37609,0.202,3.487,6,3.333
29/02/2016,6,Hawke's Bay,All combined,Solar (All),410,0.62375,1.578,3.849,13,3.863
29/02/2016,7,Taranaki,All combined,Solar (All),194,0.40620,0.668,3.443,2,2.600
29/02/2016,8,Manawatu-Wanganui,All combined,Solar (All),376,0.38313,1.303,3.466,18,2.626
