Installed distributed generation trends

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20250317193533

Parameters
Date range,01 Sep 2013 - 28 Feb 2025
Region type,Regional council
Market segment,Commercial
Capacity,All combined
Fuel type,Solar (all)

Month end,Region ID,Region name,Capacity,Fuel type,ICP count,ICP uptake rate (%),Total capacity installed (MW),Avg. capacity installed (kW),ICP count - new installations,Avg. capacity - new installations (kW)
31/12/2013,9,Wellington,All combined,Solar (All),4,0.02106,0.014,3.375,0,
31/12/2013,16,Tasman,All combined,Solar (All),2,0.11514,0.010,5.000,0,
31/12/2013,17,Nelson,All combined,Solar (All),4,0.16032,0.035,8.625,0,
31/12/2013,18,Marlborough,All combined,Solar (All),2,0.08326,0.012,6.000,0,
31/12/2013,12,West Coast,All combined,Solar (All),1,0.04591,0.003,3.000,0,
31/12/2013,13,Canterbury,All combined,Solar (All),18,0.07694,0.110,6.090,3,3.000
31/12/2013,14,Otago,All combined,Solar (All),5,0.04053,0.042,8.418,1,2.990
31/12/2013,15,Southland,All combined,Solar (All),1,0.02069,0.004,4.000,0,
31/01/2014,1,Northland,All combined,Solar (All),6,0.05905,0.024,4.067,0,
31/01/2014,2,Auckland,All combined,Solar (All),17,0.02868,0.085,5.003,2,4.500
31/01/2014,3,Waikato,All combined,Solar (All),9,0.04012,0.052,5.811,0,
31/01/2014,4,Bay of Plenty,All combined,Solar (All),8,0.06195,0.129,16.125,0,
31/01/2014,5,Gisborne,All combined,Solar (All),1,0.06277,0.005,5.000,0,
31/01/2014,6,Hawke's Bay,All combined,Solar (All),3,0.04736,0.014,4.633,0,
31/01/2014,8,Manawatu-Wanganui,All combined,Solar (All),3,0.02718,0.019,6.167,0,
31/01/2014,9,Wellington,All combined,Solar (All),6,0.03165,0.034,5.583,2,10.000
31/01/2014,16,Tasman,All combined,Solar (All),2,0.11662,0.010,5.000,0,
31/01/2014,17,Nelson,All combined,Solar (All),5,0.20202,0.044,8.880,1,9.900
31/01/2014,18,Marlborough,All combined,Solar (All),3,0.12701,0.013,4.333,1,1.000
31/01/2014,12,West Coast,All combined,Solar (All),1,0.04675,0.003,3.000,0,
31/01/2014,13,Canterbury,All combined,Solar (All),18,0.07736,0.110,6.090,0,
31/01/2014,14,Otago,All combined,Solar (All),5,0.04082,0.042,8.418,0,
31/01/2014,15,Southland,All combined,Solar (All),1,0.02077,0.004,4.000,0,
28/02/2014,1,Northland,All combined,Solar (All),6,0.05928,0.024,4.067,0,
28/02/2014,2,Auckland,All combined,Solar (All),17,0.02898,0.085,5.003,0,
28/02/2014,3,Waikato,All combined,Solar (All),10,0.04479,0.055,5.530,1,3.000
28/02/2014,4,Bay of Plenty,All combined,Solar (All),9,0.07000,0.134,14.844,1,4.600
28/02/2014,5,Gisborne,All combined,Solar (All),1,0.06289,0.005,5.000,0,
28/02/2014,6,Hawke's Bay,All combined,Solar (All),3,0.04737,0.014,4.633,0,
28/02/2014,8,Manawatu-Wanganui,All combined,Solar (All),3,0.02721,0.019,6.167,0,
28/02/2014,9,Wellington,All combined,Solar (All),6,0.03177,0.034,5.583,0,
28/02/2014,16,Tasman,All combined,Solar (All),2,0.11730,0.010,5.000,0,
28/02/2014,17,Nelson,All combined,Solar (All),8,0.32297,0.062,7.800,3,6.000
28/02/2014,18,Marlborough,All combined,Solar (All),3,0.12685,0.013,4.333,0,
28/02/2014,12,West Coast,All combined,Solar (All),1,0.04677,0.003,3.000,0,
28/02/2014,13,Canterbury,All combined,Solar (All),18,0.07721,0.110,6.090,0,
28/02/2014,14,Otago,All combined,Solar (All),5,0.04093,0.042,8.418,0,
28/02/2014,15,Southland,All combined,Solar (All),1,0.02078,0.004,4.000,0,
31/03/2014,1,Northland,All combined,Solar (All),7,0.06943,0.029,4.200,1,5.000
31/03/2014,2,Auckland,All combined,Solar (All),19,0.03242,0.094,4.955,2,4.550
31/03/2014,3,Waikato,All combined,Solar (All),12,0.05375,0.088,7.317,1,3.000
31/03/2014,4,Bay of Plenty,All combined,Solar (All),9,0.06985,0.134,14.844,0,
