PlantName,POC,HydroScheme,MBIE_Name,EMI_Name,TechnologyCode,FuelType,YearCommissioned,CapacityMW,MBIE_CapacityMW,GenerationMethod,FactFile
Aniwhenua,MAT,Rangitaiki River,Bay of Plenty hydro schemes,aniwhenua,HYD,Hydro,1981,25,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1346/aniwhenua
Arapuni,ARI,Waikato,Waikato River hydro scheme,arapuni,HYD,Hydro,1929,198,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1093/arapuni
Aratiatia,ARA,Waikato,Waikato River hydro scheme,aratiatia,HYD,Hydro,1964,90,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1091/aratiatia
Ātiamuri,ATI,Waikato,Waikato River hydro scheme,atiamuri,HYD,Hydro,1962,84,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1087/atiamuri
Aviemore,AVI,Waitaki,Waitaki hydro scheme,aviemore,HYD,Hydro,1968,220,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1088/aviemore
Benmore,BEN,Waitaki,Waitaki hydro scheme,benmore,HYD,Hydro,1965,570,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1085/benmore
Branch River (Argyle + Wairau),ARG,Branch River,,,HYDRR,Hydro,1983,11,,Capacity Factor,https://www.energynews.co.nz/resource/hydro-scheme/1086/branch-river-hydro-scheme
Bream Bay,BRB,,Bream Bay Peaker,,OCGT,Diesel,2011,9,9,Exclude,https://www.energynews.co.nz/resource/diesel-fired-thermal-power-station/6749/bream-bay-peaker
Clyde,CYD,Clutha,Clyde and Roxburgh hydro scheme,clyde,HYD,Hydro,1992,432,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1084/clyde
Cobb,STK,Cobb,Cobb,cobb,HYD,Hydro,1944,32,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1082/cobb
Coleridge,COL,Coleridge,Coleridge,coleridge,HYD,Hydro,1914,39,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1083/coleridge
Deep Stream,HWB,Mahinerangi,,,HYD,Hydro,2008,6,,TBD,https://www.energynews.co.nz/resource/hydro-power-station/1096/deep-stream
Fonterra Dairy - Whareroa,HWA,,,whareroa,COG,Gas,1966,70,,Capacity Factor,https://www.energynews.co.nz/energy-resource/cogeneration/1689/whareroa
Glenbrook Steel,GLN,,,glenbrook_kilns,COG,Coal,1987,112,,Capacity Factor,https://www.energynews.co.nz/energy-resource/cogeneration/1126/glenbrook
Highbank,ASB,Rangitata River,Christchurch hydro scheme (embedded),highbank,HYD,Hydro,1945,28,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1076/highbank-and-montalto
Huntly Unit 5 (E3P),HLY,,Huntly Unit 5 (e3p),huntly_e3p,CCGT,Gas,2007,403,403,EMI,https://www.energynews.co.nz/energy-resource/combined-cycle-gas-turbine/1128/huntly-unit-5-e3p
Huntly Unit 6 (P40),HLY,,Huntly Unit 6 (P40),huntly_p40,OCGT,Gas,2004,50,50.8,EMI,https://www.energynews.co.nz/energy-resource/open-cycle-gas-turbine/1129/huntly-unit-6
Huntly Units 1-4,HLY,,Huntly Unit 1 (Gas),huntly_1_4,RNK,Gas,1983,500,500,Custom,"Excluding mothballed Rankine. Estimate 70% of GWh output is gas, 30% coal. https://www.energynews.co.nz/resource/coal-fired-power-station/1123/huntly-rankines. We ensure capacity is not double counted."
Huntly Units 1-4,HLY,,Huntly Unit 1 (Coal),huntly_1_4,RNK,Coal,1983,500,500,Custom,"Excluding mothballed Rankine. Estimate 70% of GWh output is gas, 30% coal. https://www.energynews.co.nz/resource/coal-fired-power-station/1123/huntly-rankines. We ensure capacity is not double counted."
Junction Road,JRD,,Junction Road power plant,junctionroad,OCGT,Gas,2020,100,100,EMI,https://www.energynews.co.nz/energy-resource/open-cycle-gas-turbine/9222/junction-road-peaking-plant
Kaimai Hydro Scheme,TGA,Kaimai ,Bay of Plenty hydro schemes,kaimai,HYD,Hydro,1915,42,,EMI,https://www.energynews.co.nz/resource/hydro-scheme/1074/kaimai-hydro-scheme
Kaitawa,TUI,Waikaremoana,Waikaremoana hydro scheme,waikaremoana,HYD,Hydro,1948,36,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1073/kaitawa
Kaiwera Downs Stage 1,GOR,,Kaiwera Downs wind (Stage 1),KaiweraDowns,WIN,Wind,2023,43,43,EMI,https://www.energynews.co.nz/resource/wind-farm/1155/kaiwera-downs
Kapuni,KPA,,,kapuni,COG,Gas,1998,20,,Capacity Factor,https://www.energynews.co.nz/energy-resource/cogeneration/1350/kapuni-power-station
Karāpiro,KPO,Waikato,Waikato River hydro scheme,karapiro,HYD,Hydro,1948,112.5,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1071/karapiro
Kawerau,KAW,,Kawerau,kawerau,GEO,Geothermal,2008,106,103,Capacity Factor,https://www.energynews.co.nz/resource/geothermal-power-station/1026/kawerau
Kinleith,KIN,,,kinleith,COG,Wood,1998,40,,Capacity Factor,https://www.energynews.co.nz/energy-resource/cogeneration/1125/kinleith
Kūmara,KUM,Dillmans/Duffers/Kumara ,,,HYD,Hydro,1928,11,,TBD,https://www.energynews.co.nz/resource/hydro-power-station/1080/dillmansdufferskumara
Mahinerangi (Waipori B),HWB,,Mahinerangi 1,,WIN,Wind,2011,36,36,TBD,https://www.energynews.co.nz/resource/wind-farm/1154/mahinerangi
Manapōuri,MAN,Manapōuri,Manapōuri,manapouri,HYD,Hydro,1972,802,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1067/manapouri
Mangahao,MHO,Mangahao,Mangahao,mangahao,HYD,Hydro,1924,39,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1095/mangahao
Mangahewa Power Station,SFD,,Mangahewa Power Station,,OCGT,Gas,2009,9,9.6,Exclude,https://www.energynews.co.nz/energy-resource/open-cycle-gas-turbine/1757/mangahewa-power-station
Maraetai,MTI,Waikato,Waikato River hydro scheme,maraetai,HYD,Hydro,1971,360,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1064/maraetai-1-2
Matahina,MAT,Matahina,Bay of Plenty hydro schemes,,HYD,Hydro,1967,80,,Capacity Factor,https://www.energynews.co.nz/resource/hydro-power-station/1066/matahina
McKee,SFD,,McKee power plant,McKee,OCGT,Gas,2013,100,100,EMI,https://www.energynews.co.nz/energy-resource/open-cycle-gas-turbine/6454/mckee-peaking-plant
Mill Creek,WIL,,Mill Creek,mill_creek,WIN,Wind,2014,60,60,EMI,https://www.energynews.co.nz/energy-resource/wind-farm/1153/mill-creek
Mokai,WKM,,Mōkai,mokai,GEO,Geothermal,2000,112,113,EMI,https://www.energynews.co.nz/resource/geothermal-power-station/1023/mokai
Nga Awa Pūrua,NAP,,Ngā Awa Pūrua,nap,GEO,Geothermal,2010,140,140,Capacity Factor,https://www.energynews.co.nz/resource/geothermal-power-station/1022/nga-awa-purua
Ngā Tamariki,NAP,,Ngātamariki,Ngatamariki,GEO,Geothermal,2013,85,85,EMI,https://www.energynews.co.nz/resource/geothermal-power-station/1020/ngatamariki
