PlantName,POC,HydroScheme,MBIE_Name,EMI_Name,TechnologyCode,FuelType,YearCommissioned,CapacityMW,MBIE_CapacityMW,GenerationMethod,FactFile
Ngāwhā (OEC1-3),KOE,,Ngāwhā Stage 1 & 2,ngawha,GEO,Geothermal,2008,28,28,EMI,https://www.energynews.co.nz/energy-resource/geothermal-power-station/1021/ngawha
Ngāwhā (OEC4),KOE,,Ngāwhā Stage 3 (OEC4),ngawha,GEO,Geothermal,2020,31.5,32,EMI,https://www.energynews.co.nz/energy-resource/geothermal-power-station/1021/ngawha
Ōhaaki,OKI,,Ōhaaki,ohaaki,GEO,Geothermal,1992,50,50,EMI,https://www.energynews.co.nz/energy-resource/geothermal-power-station/1019/ohaaki
Ōhakuri,OHK,Waikato,Waikato River hydro scheme,ohakuri,HYD,Hydro,1962,112,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1058/ohakuri
Ōhau A,OHA,Waitaki,Waitaki hydro scheme,ohau_a,HYD,Hydro,1980,264,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1059/ohau
Ōhau B,OHB,Waitaki,Waitaki hydro scheme,ohau_b,HYD,Hydro,1984,212,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1056/ohau-b
Ōhau C,OHC,Waitaki,Waitaki hydro scheme,ohau_c,HYD,Hydro,1985,212,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1057/ohau-c
Paerau Gorge,NSY,Paerau Gorge,,paerau,HYD,Hydro,1984,12.5,,EMI,https://www.energynews.co.nz/resource/hydro-scheme/1246/paerau-gorge-hydro-scheme
Patea,HWA,Patea,Patea,patea,HYD,Hydro,1984,33.6,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1055/patea
Piripaua,TUI,Waikaremoana,Waikaremoana hydro scheme,waikaremoana,HYD,Hydro,1943,42,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1052/piripaua
Poihipi,PPI,,Poihipi Road,poihipi,GEO,Geothermal,1997,55,50,EMI,https://www.energynews.co.nz/energy-resource/geothermal-power-station/1018/poihipi-road
Rangipo,RPO,Tongariro ,Bunnythorpe hydro scheme,rangipo,HYD,Hydro,1983,120,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1051/rangipo
Roaring Meg,CML,Roaring Meg,,,HYD,Hydro,1936,4.2,,Capacity Factor,https://www.energynews.co.nz/resource/hydro-power-station/1050/roaring-meg
Rotokawa,WRK,,Rotokawa,rotokawa,GEO,Geothermal,1997,38,34,EMI,https://www.energynews.co.nz/resource/geothermal-power-station/1016/rotokawa
Roxburgh,ROX,Clutha River,Clyde and Roxburgh hydro scheme,roxburgh,HYD,Hydro,1956,320,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1049/roxburgh
Stratford Peaker,SFD,,Stratford Peaker,stratford,OCGT,Gas,2011,210,210,EMI,https://www.energynews.co.nz/energy-resource/open-cycle-gas-turbine/1430/stratford
Takapō A,TKA,Waitaki,Waitaki hydro scheme,tekapo_a,HYD,Hydro,1951,30,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1046/tekapo-and-b
Takapō B,TKB,Waitaki,Waitaki hydro scheme,tekapo_b,HYD,Hydro,1977,160,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1046/tekapo-and-b
Taranaki Combined Cycle,SFD,,Taranaki Combined Cycle (TCC),stratford,CCGT,Gas,1998,380,380,EMI,https://www.energynews.co.nz/energy-resource/combined-cycle-gas-turbine/1009/taranaki-combined-cycle
Tararua Stage 1 & 2,LTN,,Tararua Stage 1 & 2,twf_12,WIN,Wind,1999,73,68,EMI,https://www.energynews.co.nz/resource/wind-farm/1146/tararua
Tararua Stage 3,TWC,,Tararua Stage 3,twf_3,WIN,Wind,2007,93,93,EMI,https://www.energynews.co.nz/resource/wind-farm/1146/tararua
Te Ahi O Maui,KAW,,Te Ahi O Maui (KA22),kawerau_new,GEO,Geothermal,2018,27,25,Capacity Factor,https://www.energynews.co.nz/resource/geothermal-power-station/7312/te-ahi-o-maui
Te Āpiti,WDV,,Te Āpiti,te_apiti,WIN,Wind,2004,90,90.75,EMI,https://www.energynews.co.nz/energy-resource/wind-farm/1143/te-apiti
Te Huka Binary,WRK,,Te Huka (Binary),tehuka,GEO,Geothermal,2010,28,28,EMI,https://www.energynews.co.nz/energy-resource/geothermal-power-station/1015/tauhara-stage-one-te-huka-power-station
Te Mihi,THI,,Te Mihi,te_mihi,GEO,Geothermal,2014,166,166,EMI,https://www.energynews.co.nz/energy-resource/geothermal-power-station/1014/te-mihi
Te Rapa,TWH,,,te_rapa,COG,Gas,1999,42,,Capacity Factor,https://www.energynews.co.nz/energy-resource/cogeneration/1011/te-rapa
Te Rere Hau,TWC,,Te Rere Hau,te_rere_hau,WIN,Wind,2011,48.5,45.5,EMI,https://www.energynews.co.nz/energy-resource/wind-farm/1140/te-rere-hau
Te Uku,TWH,,Te Uku,te_uku,WIN,Wind,2011,64.4,64.4,EMI,https://www.energynews.co.nz/energy-resource/wind-farm/1138/te-uku
Teviot,CYD,Teviot River,,teviot,HYD,Hydro,1924,17.7,,EMI,https://www.energynews.co.nz/resource/hydro-scheme/1045/teviot-river-hydro-scheme
Tokaanu/Mangaio,TKU,Tongariro ,Bunnythorpe hydro scheme,,HYD,Hydro,1973,242,,Capacity Factor,"https://www.energynews.co.nz/energy-resource/hydro-power-station/1044/tokaanu, https://www.energynews.co.nz/energy-resource/hydro-power-station/4240/mangaio"
TOPP1,KAW,,Kawerau (TOPP1),,GEO,Geothermal,2013,21.5,21.5,Capacity Factor,https://www.energynews.co.nz/resource/geothermal-power-station/31732/topp1
Tuai,TUI,Waikaremoana,Waikaremoana hydro scheme,waikaremoana,HYD,Hydro,1929,60,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1098/tuai
Turitea North,LTN,,Turitea North,turitea,WIN,Wind,2020,119,118.8,EMI,https://www.energynews.co.nz/resource/wind-farm/1136/turitea
Turitea South,LTN,,Turitea South,turitea,WIN,Wind,2021,103,102.6,EMI,https://www.energynews.co.nz/resource/wind-farm/1136/turitea
Waipāpa,WPA,Waikato,Waikato River hydro scheme,waipapa,HYD,Hydro,1961,51,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1039/waipapa
Waipipi,WVY,,Waipipi,waipipi,WIN,Wind,2020,133,133,EMI,https://www.energynews.co.nz/resource/wind-farm/1134/waipipi
Waipori,BWK,Lake Mahinerangi,Waipori power scheme,waipori,HYD,Hydro,1902,86,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1037/waipori
Wairākei,WRK,,Wairākei A & B,wairakei,GEO,Geothermal,1958,132,117,EMI,https://www.energynews.co.nz/energy-resource/geothermal-power-station/1013/wairakei
Waitaki,WTK,Waitaki,Waitaki hydro scheme,waitaki,HYD,Hydro,1935,105,,EMI,https://www.energynews.co.nz/energy-resource/hydro-power-station/1033/waitaki-power-station
West Wind,WWD,,West Wind,west_wind,WIN,Wind,2009,142.6,142.6,EMI,https://www.energynews.co.nz/resource/wind-farm/1133/west-wind
Whakamaru,WKM,Waikato,Waikato River hydro scheme,whakamaru,HYD,Hydro,1956,124,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1032/whakamaru
Wheao and Flaxy,ROT,Wheao and Flaxy(?),,wheao_flaxy,HYD,Hydro,1982,26,,EMI,https://www.energynews.co.nz/resource/hydro-power-station/1031/wheao-and-flaxy
Whirinaki,WHI,,Whirinaki peaker plant,whirinaki,OCGT,Diesel,2004,155,155,EMI,https://www.energynews.co.nz/energy-resource/diesel-fired-thermal-power-station/1122/whirinaki-contact
White Hill,NMA,,White Hill,white_hill,WIN,Wind,2007,58,58,EMI,https://www.energynews.co.nz/energy-resource/wind-farm/1132/white-hill
