UC_N,Pset_Set,Pset_PN,Year,LimType,UC_NCAP~2025,UC_NCAP~2030,UC_NCAP~2035,UC_NCAP~2040,UC_RHST,UC_RHST~0,UC_Desc
MAX_BEV_UPTAKE,,"T_P_C*BEV*,T_P_C*H2R*",2025,LO,-0.97,-0.89,-0.58,-9.99999999995449e-06,0,5,Max number of BEV cars per year
,,"T_P_C*,-T_P_C*BEV*,-T_P_C*H2R*",,,0.03,0.11,0.42,0.99999,,,
