Sector,Sector_TIMES
Aluminium,ALUM
Chemicals (excl. Urea and Methanol),CHEM
Construction,CNST
Dairy,DARY
Food and Beverage,FOOD
Iron & Steel,STEEL
Meat,MEAT
Methanol,METH
Mining,MINE
Non-Metallic Mineral Product Manufacturing,MNRL
Other,OTHR
Pulp and Paper,PULP
Urea,UREA
Wood Products,WOOD
