UC_N,Pset_Set,Pset_PN,Year,LimType,UC_NCAP~2045,UC_NCAP~2050,UC_NCAP~2055,UC_NCAP~2060,UC_RHST,UC_RHST~0,UC_Desc
HYB_Car_ban,,T_P_C*HYB*,2045,UP,0.2,0.2,0.2,0.2,0,5,Hybrid cars number limit in new sales
,,"T_P_C*,-T_P_C*HYB*",,,-0.8,-0.8,-0.8,-0.8,,,
