Period,Unit,Value,Scenario
2020,MT CO2e,30.946,EDGS Reference
2021,MT CO2e,31.248,EDGS Reference
2022,MT CO2e,28.729,EDGS Reference
2023,MT CO2e,28.923,EDGS Reference
2024,MT CO2e,30.21,EDGS Reference
2025,MT CO2e,29.215,EDGS Reference
2026,MT CO2e,29.245,EDGS Reference
2027,MT CO2e,29.206,EDGS Reference
2028,MT CO2e,28.918,EDGS Reference
2029,MT CO2e,27.916,EDGS Reference
2030,MT CO2e,27.194,EDGS Reference
2031,MT CO2e,26.665,EDGS Reference
2032,MT CO2e,26.227,EDGS Reference
2033,MT CO2e,25.858,EDGS Reference
2034,MT CO2e,25.456,EDGS Reference
2035,MT CO2e,25.028,EDGS Reference
2036,MT CO2e,24.506,EDGS Reference
2037,MT CO2e,23.211,EDGS Reference
2038,MT CO2e,22.605,EDGS Reference
2039,MT CO2e,22.028,EDGS Reference
2040,MT CO2e,21.472,EDGS Reference
2041,MT CO2e,20.314,EDGS Reference
2042,MT CO2e,19.857,EDGS Reference
2043,MT CO2e,19.448,EDGS Reference
2044,MT CO2e,19.053,EDGS Reference
2045,MT CO2e,18.649,EDGS Reference
2046,MT CO2e,18.273,EDGS Reference
2047,MT CO2e,17.942,EDGS Reference
2048,MT CO2e,17.615,EDGS Reference
2049,MT CO2e,17.293,EDGS Reference
2050,MT CO2e,17.003,EDGS Reference
2020,MT CO2e,30.92511708,ERP2
2021,MT CO2e,31.23173311,ERP2
2022,MT CO2e,28.71610829,ERP2
2023,MT CO2e,29.05995645,ERP2
2024,MT CO2e,29.79311479,ERP2
2025,MT CO2e,29.19780862,ERP2
2026,MT CO2e,28.83074606,ERP2
2027,MT CO2e,28.59696851,ERP2
2028,MT CO2e,27.52075238,ERP2
2029,MT CO2e,26.75925147,ERP2
2030,MT CO2e,25.31256448,ERP2
2031,MT CO2e,24.97516213,ERP2
2032,MT CO2e,24.61192342,ERP2
2033,MT CO2e,24.19193295,ERP2
2034,MT CO2e,23.71551177,ERP2
2035,MT CO2e,23.23912013,ERP2
2036,MT CO2e,22.6917802,ERP2
2037,MT CO2e,22.0584705,ERP2
2038,MT CO2e,21.64332959,ERP2
2039,MT CO2e,21.12397177,ERP2
2040,MT CO2e,20.8060615,ERP2
2041,MT CO2e,20.34320363,ERP2
2042,MT CO2e,19.93601742,ERP2
2043,MT CO2e,19.53555883,ERP2
2044,MT CO2e,19.15298123,ERP2
2045,MT CO2e,18.76061629,ERP2
2046,MT CO2e,18.44246153,ERP2
2047,MT CO2e,18.09571,ERP2
2048,MT CO2e,17.77146008,ERP2
2049,MT CO2e,17.42718592,ERP2
2050,MT CO2e,17.08412149,ERP2
