Year,Unit,MBIECoalCogen,MBIECoalOtherTransformation,NZSteelUse,Note
2017,PJ,7.66,11.76,19.42,"The sum of MBIE data on coal use for ""other transformation"" and subbit cogeneration. Should later be automated from the coal data. Could also use balance tables"
2018,PJ,7.28,11.41,18.69,"The sum of MBIE data on coal use for ""other transformation"" and subbit cogeneration. Should later be automated from the coal data. Could also use balance tables"
2019,PJ,8.15,10.26,18.41,"The sum of MBIE data on coal use for ""other transformation"" and subbit cogeneration. Should later be automated from the coal data. Could also use balance tables"
2020,PJ,7.36,10.13,17.49,"The sum of MBIE data on coal use for ""other transformation"" and subbit cogeneration. Should later be automated from the coal data. Could also use balance tables"
2021,PJ,8.21,10.81,19.02,"The sum of MBIE data on coal use for ""other transformation"" and subbit cogeneration. Should later be automated from the coal data. Could also use balance tables"
2022,PJ,7.43,9.52,16.95,"The sum of MBIE data on coal use for ""other transformation"" and subbit cogeneration. Should later be automated from the coal data. Could also use balance tables"
2023,PJ,6.76,9.68,16.44,"The sum of MBIE data on coal use for ""other transformation"" and subbit cogeneration. Should later be automated from the coal data. Could also use balance tables"
