TimeSlice,Attribute,Cset_CN,Cset_SET,Year,NI,SI
SPR-WE-D,COM_FR,"CNST*,DARY*,FOOD*,MEAT*,METH*,MNRL*,MINE*,OTHR*,CHEM*,UREA*,WOOD*",DEM,2023,0.058246875,0.058246875
SPR-WE-N,COM_FR,"CNST*,DARY*,FOOD*,MEAT*,METH*,MNRL*,MINE*,OTHR*,CHEM*,UREA*,WOOD*",DEM,2023,0.007125,0.007125
SPR-WE-P,COM_FR,"CNST*,DARY*,FOOD*,MEAT*,METH*,MNRL*,MINE*,OTHR*,CHEM*,UREA*,WOOD*",DEM,2023,0.005878125,0.005878125
SUM-WK-D,COM_FR,ALUM*,DEM,2023,0.080142402,0.080142402
SUM-WK-N,COM_FR,ALUM*,DEM,2023,0.087814363,0.087814363
SUM-WK-P,COM_FR,ALUM*,DEM,2023,0.007313721,0.007313721
SUM-WE-D,COM_FR,ALUM*,DEM,2023,0.032644733,0.032644733
SUM-WE-N,COM_FR,ALUM*,DEM,2023,0.035674676,0.035674676
SUM-WE-P,COM_FR,ALUM*,DEM,2023,0.002977503,0.002977503
FAL-WK-D,COM_FR,ALUM*,DEM,2023,0.082268623,0.082268623
FAL-WK-N,COM_FR,ALUM*,DEM,2023,0.090036672,0.090036672
FAL-WK-P,COM_FR,ALUM*,DEM,2023,0.007502161,0.007502161
FAL-WE-D,COM_FR,ALUM*,DEM,2023,0.032457889,0.032457889
FAL-WE-N,COM_FR,ALUM*,DEM,2023,0.035463063,0.035463063
FAL-WE-P,COM_FR,ALUM*,DEM,2023,0.002956935,0.002956935
WIN-WK-D,COM_FR,ALUM*,DEM,2023,0.08214096,0.08214096
WIN-WK-N,COM_FR,ALUM*,DEM,2023,0.090295427,0.090295427
WIN-WK-P,COM_FR,ALUM*,DEM,2023,0.007500404,0.007500404
WIN-WE-D,COM_FR,ALUM*,DEM,2023,0.032569651,0.032569651
WIN-WE-N,COM_FR,ALUM*,DEM,2023,0.035566774,0.035566774
WIN-WE-P,COM_FR,ALUM*,DEM,2023,0.002962366,0.002962366
SPR-WK-D,COM_FR,ALUM*,DEM,2023,0.082246069,0.082246069
SPR-WK-N,COM_FR,ALUM*,DEM,2023,0.090092206,0.090092206
SPR-WK-P,COM_FR,ALUM*,DEM,2023,0.007473413,0.007473413
SPR-WE-D,COM_FR,ALUM*,DEM,2023,0.032966616,0.032966616
SPR-WE-N,COM_FR,ALUM*,DEM,2023,0.035935164,0.035935164
SPR-WE-P,COM_FR,ALUM*,DEM,2023,0.002998209,0.002998209
SUM-WK-D,COM_FR,STEEL*,DEM,2023,0.074135161,0.074135161
SUM-WK-N,COM_FR,STEEL*,DEM,2023,0.090625637,0.090625637
SUM-WK-P,COM_FR,STEEL*,DEM,2023,0.007431055,0.007431055
SUM-WE-D,COM_FR,STEEL*,DEM,2023,0.034532008,0.034532008
SUM-WE-N,COM_FR,STEEL*,DEM,2023,0.037860373,0.037860373
SUM-WE-P,COM_FR,STEEL*,DEM,2023,0.003189059,0.003189059
FAL-WK-D,COM_FR,STEEL*,DEM,2023,0.078418477,0.078418477
FAL-WK-N,COM_FR,STEEL*,DEM,2023,0.092772007,0.092772007
FAL-WK-P,COM_FR,STEEL*,DEM,2023,0.007659278,0.007659278
FAL-WE-D,COM_FR,STEEL*,DEM,2023,0.03435464,0.03435464
FAL-WE-N,COM_FR,STEEL*,DEM,2023,0.03808606,0.03808606
FAL-WE-P,COM_FR,STEEL*,DEM,2023,0.003208669,0.003208669
WIN-WK-D,COM_FR,STEEL*,DEM,2023,0.0808995,0.0808995
WIN-WK-N,COM_FR,STEEL*,DEM,2023,0.093353581,0.093353581
WIN-WK-P,COM_FR,STEEL*,DEM,2023,0.007314477,0.007314477
WIN-WE-D,COM_FR,STEEL*,DEM,2023,0.036077786,0.036077786
WIN-WE-N,COM_FR,STEEL*,DEM,2023,0.039949683,0.039949683
WIN-WE-P,COM_FR,STEEL*,DEM,2023,0.003372718,0.003372718
SPR-WK-D,COM_FR,STEEL*,DEM,2023,0.071414844,0.071414844
SPR-WK-N,COM_FR,STEEL*,DEM,2023,0.086729091,0.086729091
SPR-WK-P,COM_FR,STEEL*,DEM,2023,0.007119406,0.007119406
SPR-WE-D,COM_FR,STEEL*,DEM,2023,0.032786991,0.032786991
SPR-WE-N,COM_FR,STEEL*,DEM,2023,0.035771621,0.035771621
SPR-WE-P,COM_FR,STEEL*,DEM,2023,0.002937877,0.002937877
SUM-WK-D,COM_FR,PULP*,DEM,2023,0.081539651,0.081539651
SUM-WK-N,COM_FR,PULP*,DEM,2023,0.087925563,0.087925563
SUM-WK-P,COM_FR,PULP*,DEM,2023,0.00734916,0.00734916
SUM-WE-D,COM_FR,PULP*,DEM,2023,0.034091939,0.034091939
SUM-WE-N,COM_FR,PULP*,DEM,2023,0.036256722,0.036256722
SUM-WE-P,COM_FR,PULP*,DEM,2023,0.003112464,0.003112464
FAL-WK-D,COM_FR,PULP*,DEM,2023,0.087931976,0.087931976
FAL-WK-N,COM_FR,PULP*,DEM,2023,0.096667418,0.096667418
FAL-WK-P,COM_FR,PULP*,DEM,2023,0.008036574,0.008036574
FAL-WE-D,COM_FR,PULP*,DEM,2023,0.037137172,0.037137172
FAL-WE-N,COM_FR,PULP*,DEM,2023,0.039285949,0.039285949
FAL-WE-P,COM_FR,PULP*,DEM,2023,0.003392211,0.003392211
WIN-WK-D,COM_FR,PULP*,DEM,2023,0.085683155,0.085683155
WIN-WK-N,COM_FR,PULP*,DEM,2023,0.086416112,0.086416112
WIN-WK-P,COM_FR,PULP*,DEM,2023,0.007860155,0.007860155
WIN-WE-D,COM_FR,PULP*,DEM,2023,0.03271431,0.03271431
WIN-WE-N,COM_FR,PULP*,DEM,2023,0.03364676,0.03364676
WIN-WE-P,COM_FR,PULP*,DEM,2023,0.003152729,0.003152729
SPR-WK-D,COM_FR,PULP*,DEM,2023,0.079850182,0.079850182
SPR-WK-N,COM_FR,PULP*,DEM,2023,0.077041543,0.077041543
SPR-WK-P,COM_FR,PULP*,DEM,2023,0.007248501,0.007248501
SPR-WE-D,COM_FR,PULP*,DEM,2023,0.030149351,0.030149351
SPR-WE-N,COM_FR,PULP*,DEM,2023,0.0307164,0.0307164
SPR-WE-P,COM_FR,PULP*,DEM,2023,0.002794003,0.002794003
