UC_N,Pset_Set,Pset_PN,Year,LimType,UC_NCAP~2035,UC_RHST,UC_RHST~0,UC_Desc
ICE_Car_ban,,T_P_C*ICE*,2035,LO,-0.99999,0,5,Internal combustion cars number limit and futher ban
,,"T_P_C*,-T_P_C*ICE*",,,1e-05,,,
