EEUD,TIMES,Notes
Dairy Cattle Farming,Dairy Cattle Farming,1:1 Match
"Fishing, Hunting and Trapping","Fishing, Hunting and Trapping",1:1 Match
Forestry and Logging,Forestry and Logging,1:1 Match
Indoor Cropping,Indoor Cropping,1:1 Match
Non-Dairy Agriculture,,Modify using external data and reconc with MBIE
NULL,,Modify using external data and reconc with MBIE
