ScenarioCSIRO,Hours,Year,Value,Unit,Notes
Current policies,8,2034,263,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2035,256,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2036,249,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2037,242,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2038,235,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2039,228,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2040,225,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2041,223,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2042,221,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2043,219,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2044,217,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2045,216,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2046,215,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2047,214,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2048,213,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2049,213,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2050,212,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2051,212,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2052,211,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2053,212,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2054,211,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Current policies,8,2055,211,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2024,608,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2025,507,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2026,428,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2027,368,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2028,319,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2029,281,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2030,254,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2031,244,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2032,235,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2033,225,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2034,217,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2035,209,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2036,202,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2037,195,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2038,189,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2039,184,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2040,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2041,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2042,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2043,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2044,182,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2045,182,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2046,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2047,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2048,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2049,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2050,183,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2051,184,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2052,184,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2053,184,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2054,184,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,2,2055,185,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
Global NZE by 2050,8,2024,344,$/kWh,From CSIRO https://data.csiro.au/collection/csiro:44228 - GenCost2024-25FinalApxTables_20250801
