techname,sets,tact,tcap
CNST-ELC-LIGHT-LIGHT,DMD,PJ,GW
CNST-ELC-MOTOR-MTV_STA,DMD,PJ,GW
CNST-H2R-HFCV-MTV_MOB,DMD,PJ,GW
CNST-NGA-ICENG-MTV_MOB,DMD,PJ,GW
CNST-PET-ENGIN-MTV_STA,DMD,PJ,GW
CNST-PET-ICENG-MTV_MOB,DMD,PJ,GW
CT_COILBDS,PRE,PJ,GWth
CT_CWODBPL,PRE,PJ,GWth
CT_CWODDID,PRE,PJ,GWth
CT_CWODETH,PRE,PJ,GWth
C_DATA-LT-LED-ELC,DMD,PJ,GW
C_DATA-OTH-ELEC-ELC,DMD,PJ,GW
C_DATA-SC-AIRHP-ELC,DMD,PJ,GW
C_EDU-LT-FLU-ELC,DMD,PJ,GW
C_EDU-LT-INC-ELC,DMD,PJ,GW
C_EDU-LT-LED-ELC,DMD,PJ,GW
C_EDU-MPM-MPM-DSL,DMD,PJ,GW
C_EDU-MPM-MPM-ELC,DMD,PJ,GW
C_EDU-MPM-MPM-H2R,DMD,PJ,GW
C_EDU-MPM-MPM-PET,DMD,PJ,GW
C_EDU-MPS-MPS-ELC,DMD,PJ,GW
C_EDU-MPS-MPS-H2R,DMD,PJ,GW
C_EDU-MPS-MPS-PET,DMD,PJ,GW
C_EDU-OTH-ELEC-ELC,DMD,PJ,GW
C_EDU-RF-Refriger-ELC,DMD,PJ,GW
C_EDU-SC-AIRHP-ELC,DMD,PJ,GW
C_EDU-SH-AIRHP-ELC,DMD,PJ,GW
C_EDU-SH-Boiler-BIM,DMD,PJ,GW
C_EDU-SH-Boiler-COA,DMD,PJ,GW
C_EDU-SH-Boiler-DSL,DMD,PJ,GW
C_EDU-SH-Boiler-ELC,DMD,PJ,GW
C_EDU-SH-Boiler-H2R,DMD,PJ,GW
C_EDU-SH-Boiler-NGA,DMD,PJ,GW
C_EDU-SH-Boiler-PLT,DMD,PJ,GW
C_EDU-SH-Boiler-WOD,DMD,PJ,GW
C_EDU-SH-Burner-NGA,DMD,PJ,GW
C_EDU-SH-HEATX-GEO,DMD,PJ,GW
