UC_N,Pset_Set,Pset_PN,Year,LimType,UC_CAP,UC_RHSRT~NI,UC_RHSRT~SI,UC_RHSRT~0,UC_Desc
UC_GEONEW_TOTAL,ELE,EGEO*,2021,UP,1,0.15,0,5,Total geothermal potential for new power plants
,,,2025,,,0.275,0,,
,,,2030,,,0.645,0,,
,,,2035,,,0.675,0,,
,,,2040,,,0.96,0,,
,,,2050,,,1.035,0,,
