UC_N,Pset_Set,Pset_PN,Year,LimType,UC_CAP,UC_RHSRTS~NI,UC_RHSRTS~SI,UC_RHSRTS~0,UC_Desc
HYD_DAM_BAN,,EHYD*DAM*,2035,UP,1,0,0,3,New dam hydro ban
,,EHYD*DAM*,2050,,1,0,0,,
