TimeSlice,LimType,Attribute,Year,Other_Indexes,AllRegions,NI,SI,Pset_Set,Pset_PN,Pset_PD,Pset_CI,Pset_CO,Cset_Set,Cset_CN,Cset_CD
,,ACTCOST,,,10000,,,IRE,IMP*Z,,,,,,
,,ACTCOST,,,9000,,,IRE,IMPDEMZ,,,,,,
