UC_N,Pset_Set,Pset_PN,Year,LimType,UC_CAP,UC_RHSRT~NI,UC_RHSRT~SI,UC_RHSRT~0,UC_Desc
UC_HYDRO_DAM_NEW,ELE,EHY*DAM*,2025,UP,1,0,0.168,3,New Hydro - Dams
,,,2050,,,0,0.978,,
